qid,pred,gold,em,f1,inference_duration (s),inference_energy_consumed (kWh),inference_emissions (kg),retrieval_duration,retrieval_energy,retrieval_emissions
10,"### Instruction:
Answer using the context.

### Context:
History of the Kansas City metropolitan area. University of the Incarnate Word. Federal University of Paraíba. Kansas City metropolitan area. University of Missouri–Kansas City. Downtown Kansas City. University of Kansas. Kansas City jazz. North Kansas City. University of Missouri–Kansas City. University of Missouri–Kansas City. University of Missouri–Kansas City. University of Missouri–Kansas City. University of Missouri–Kansas City. University of Missouri–Kansas City. University of Missouri–Kansas City. University of Missouri–Kansas City. University of Missouri–Kansas City",Kansas Song,0,0.025974026,1.0887401,0.000296352,8.70E-05,0.0678615,1.84E-05,5.42E-06
11,"### Instruction:
Answer using the context.

### Context:
Gone in 60 Seconds (2000 film). Deadfall (1993 film). Time to Kill (1989 film). The Family Man. Drive Angry. Season of the Witch (2011 film). Bangkok Dangerous (2008 film). City of Angels (film). The Family Man. Drive Angry. Season of the Witch (2011 film). Bangkok Dangerous (2008 film). The Family Man. Drive Angry. Season of the Witch (2011 film). Bangkok Dangerous (2008 film). The Family Man. Drive Angry. Season of the Witch (2011 film). Bangkok Dangerous (2008 film). The",David Weissman,0,0,1.0887401,0.000296352,8.70E-05,0.0478353,1.30E-05,3.82E-06
12,"### Instruction:
Answer using the context.

### Context:
Guns N' Roses discography. Get Christie Love!. End of Days (film). Steven Adler. Faction Punk. Hammerjack's. The Recycler. Last Action Hero. True Lies. Arnold Schwarzenegger filmographyGuns N' Roses discography. Get Christie Love!. End of Days (film). Steven Adler. Faction Punk. Hammerjack's. The Recycler. Last Action Hero. True Lies. Arnold Schwarzenegger filmographyGuns N' Roses discography. Get Christie Love!. End of Days (film). Steven Adler. Faction",1999,0,0,1.0887401,0.000296352,8.70E-05,0.0486572,1.32E-05,3.88E-06
13,"### Instruction:
Answer using the context.

### Context:
Pershing Square Capital Management. Loan modification in the United States. 888 7th Avenue. Villard (imprint). Random House Tower. Carl B. Stokes United States Courthouse. South Phoenix. Real estate benchmarking. Hounslow, IL.
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###",no,0,0,1.0887401,0.000296352,8.70E-05,0.0407727,1.11E-05,3.25E-06
14,"### Instruction:
Answer using the context.

### Context:
Sir Matt Busby Sports Complex. 1995–96 Manchester United F.C. season. Alex Ferguson. David Beckham Academy. David Beckham's Soccer USA. 1996 FA Charity Shield. Joshua Parlby. Ernest Mangnall. The Class of 1998.
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###",from 1986 to 2013,0,0,1.0887401,0.000296352,8.70E-05,0.0409731,1.11E-05,3.27E-06
15,"### Instruction:
Answer using the context.

### Context:
Fishing Lake. Neosho State Fishing Lake. Higgins Lake. Shawnee State Fishing Lake. Brown State Fishing Lake. Osage State Fishing Lake. Higgins Lake, Michigan. Wilson Lake (Iron County, Wisconsin). Narrow Hills Provincial Park.
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###","9,984",0,0,1.0887401,0.000296352,8.70E-05,0.0665272,1.81E-05,5.31E-06
16,"### Instruction:
Answer using the context.

### Context:
Vermont Catamounts men's soccer. 2014–15 Vermont Catamounts men's basketball team. 2015–16 Vermont Catamounts men's basketball team. 2012–13 Vermont Catamounts men's basketball team. Vermont Catamounts men's basketball team. 2015–16 Vermont Catamounts men's basketball team. 2015–16 Vermont Catamounts men's basketball team. 2015–16 Vermont Catamounts men's basketball team. 2015–16 Vermont Catamounts men's basketball team. 2015–16 Vermont Catamounts men's basketball",the North Atlantic Conference,0,0,1.0887401,0.000296352,8.70E-05,0.2048734,5.57E-05,1.64E-05
17,"### Instruction:
Answer using the context.

### Context:
Mignon. Teatro Giuseppe Verdi. Parma Airport. Verdi, the King of Melody. Armand Castelmary. Giuseppe Verdi (film). Giuseppe Verdi Monument. Ferdinando Provence. Giuseppe Verdi (film). Giuseppe Verdi (film). Giuseppe Verdi (film). Giuseppe Verdi (film). Giuseppe Verdi (film). Giuseppe Verdi (film). Giuseppe Verdi (film). Giuseppe Verdi",yes,0,0,1.0887401,0.000296352,8.70E-05,0.0155608,4.21E-06,1.24E-06
18,"### Instruction:
Answer using the context.

### Context:
Douglas J. Bennet. Robert R. Hood. United States Assistant Secretary of State. Robert Hormats. Roger O. Egeberg. Edward D. Martin. Steven K. Galson. George P. Taylor. Bradford D. Hormats. Robert R. Hood. United States Assistant Secretary of State. Robert Hormats. Robert R. Hood. United States Assistant Secretary of State. Robert Hormats. Robert R. Hood. United States Assistant Secretary of State. Robert Hormats. Robert R. Hood. United States",1969 until 1974,0,0,1.0887401,0.000296352,8.70E-05,0.04803,1.31E-05,3.83E-06
19,"### Instruction:
Answer using the context.

### Context:
Gretchen Osgood Warren. R509 road (Ireland). Erskine Barton Childers. Robert Caesar Childers. Robert Erskine Childers. Asgard (yacht). Robert Barton. The Riddle of the Sands (Ireland).
### Context:
Gretchen Osgood Warren. R509 road (Ireland). Erskine Barton Childers. Robert Erskine Childers. Asgard (yacht). Robert Barton. The Riddle of the Sands (Ireland).
### Context:
Gretchen Osgood Warren",Robert Erskine Childers DSC,0,0.105263158,1.0887401,0.000296352,8.70E-05,0.0201227,5.45E-06,1.60E-06
20,"### Instruction:
Answer using the context.

### Context:
Catharina Felser. Tony Ave. Force India VJM04. Michael James Lewis. Andrea Bacci. 2009 Singapore Grand Prix. 2014 Bahrain Grand Prix. Force India VJM05. Eduardo Troconis. Mike ShankCatharina Felser. 2010 Singapore Grand Prix. 2014 Bahrain Grand Prix. 2014 Bahrain Grand Prix. 2014 Bahrain Grand Prix. 2014 Bahrain Grand Prix. 2014 Bahrain Grand Prix. 2014 Bahrain Grand Prix. 2014 Bahrain Grand Prix. 2014 Bahrain Grand Prix. 2014 Bahrain Grand Prix. 2014 Bahrain Grand Prix. 2014 Bahrain Grand",Pedro Rodríguez,0,0,1.0887401,0.000296352,8.70E-05,0.1042661,2.84E-05,8.33E-06
21,"### Instruction:
Answer using the context.

### Context:
Little Black Rain Cloud. Hip Hip Pooh-Ray!. Heffalumps and Woozles. Winnie the Pooh and the Blustery Day. Brianne Siddall. Kate Higgins. The Rain Rain Rain Came Down Down Down.
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###",Sonic,0,0,1.0887401,0.000296352,8.70E-05,0.0271841,7.38E-06,2.17E-06
22,"### Instruction:
Answer using the context.

### Context:
Siri Remote. Apple Remote. NetSupport Manager. Remote control. Front Row (software). Universal remote. MacScan. Apple Remote Desktop. Apple Watch. Trainmaster Command ControlThe Siri Remote is a remote control device released in tandem with the Apple Watch. The Remote is a remote control device released in tandem with the Apple Watch. The Remote is a remote control device released in tandem with the Apple Watch. The Remote is a remote control device released in tandem with the Apple Watch. The Remote is a remote control device released in tandem with the Apple Watch. The",keyboard function keys,0,0,1.0887401,0.000296352,8.70E-05,0.0317298,8.61E-06,2.53E-06
23,"### Instruction:
Answer using the context.

### Context:
Badly Drawn Boy discography. Soulfire (Tom Hingley album). Something to Talk About (Badly Drawn Boy song). Under an Hour. Craig Davies (musician). Silent Sigh. About a Boy (soundtrack).
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###",Badly Drawn Boy,0,0.176470588,1.0887401,0.000296352,8.70E-05,0.023437,6.36E-06,1.87E-06
24,"### Instruction:
Answer using the context.

### Context:
Sommeren '92. Pelé. IFFHS World's Best Club Coach. IFFHS World's Best Goalkeeper. Isaak Hassler. Goštautai. Kasper Hvidt. Kasper Schmeichel.
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###",World's Best Goalkeeper,0,0.222222222,1.0887401,0.000296352,8.70E-05,0.0233266,6.33E-06,1.86E-06
25,"### Instruction:
Answer using the context.

### Context:
Puss N' Boots/These Boots Are Made for Walkin'. These Boots Are Made for Walkin'. Boots (EP). Kon Kan. Murong Yong. Nancy Sinatra. Boots (album). Jim Shoulders. Death of Abdul Walid.
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###",Barton Lee Hazlewood,0,0,1.0887401,0.000296352,8.70E-05,0.0351497,9.55E-06,2.80E-06
26,"### Instruction:
Answer using the context.

### Context:
2010–11 VCU Rams men's basketball team. 2004–05 VCU Rams men's basketball team. 2014–15 VCU Rams men's basketball team. 2009–10 VCU Rams men's basketball team. 1995–96 VCU Rams men's basketball team. 2010–11 VCU Rams men's basketball team.
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###",1838,0,0,1.0887401,0.000296352,8.70E-05,0.2074055,5.64E-05,1.66E-05
27,"### Instruction:
Answer using the context.

### Context:
HuerniaThe genus Huernia (family Apocynaceae, subfamily Asclepiadoideae) consists of stem succulents from Eastern and Southern Africa, first described as a genus in 1810. The flowers are five-sided, and are arranged in a circle. The flowers are divided into three groups: the first group is the first group, and the second group is the third group. The flowers are divided into three groups: the third group is the fourth group. The flowers are divided into three groups: the third group is the",yes,0,0,1.0887401,0.000296352,8.70E-05,0.033848,9.19E-06,2.70E-06
28,"### Instruction:
Answer using the context.

### Context:
New York Shipbuilding Corporation. Kaiser Shipyards. Eagle Mountain Railroad. Nutri Ventures – The Quest for the 7 Kingdoms. Edgar Kaiser Sr.. Kaiser Ventures. John Roach &amp; Sons. Neafie &amp; Levy. Edgar Kaiser Sr.. Kaiser Ventures. John Roach &amp; Sons. Neafie &amp; Levy. Edgar Kaiser Sr.. Kaiser Ventures. John Roach &amp; Sons. Neafie &amp; Levy. Edgar Kaiser Sr.. Kaiser Ventures. John Roach &amp; Sons. Neafie &",Henry J. Kaiser,0,0.028571429,1.0887401,0.000296352,8.70E-05,0.0730006,1.98E-05,5.83E-06
29,"### Instruction:
Answer using the context.

### Context:
Tunnels &amp; Trolls. Mercenaries, Spies and Private Eyes. Crank Caverns. Jon St. Andre. St. Andre (Goa Assembly constituency). Tunnels &amp; Trolls: Crusaders of Khorne.
### Context:
Tunnels &amp; Trolls: Crusaders of Khorne. Trolls: Crusaders of Khorne. Trolls: Crusaders of Khorne. Trolls: Crusaders of Khorne. Trolls: Crusaders of Khorne. Trolls: Crusaders of",Arena of Khazan,0,0.034482759,1.0887401,0.000296352,8.70E-05,0.0283062,7.68E-06,2.26E-06
30,"### Instruction:
Answer using the context.

### Context:
Greatest Hits (Dan Fogelberg album). Make Love Not War (album). Make Love. I Just Want to Make Love to You. Mind If We Make Love to You. Chuck Berry on Stage. All I Wanna Do Is Make Love to You.
I'm not a fan of the song. I'm not a fan of the song. I'm not a fan of the song. I'm not a fan of the song. I'm not a fan of the song. I'm not a fan of the song. I'm not a fan",2000,0,0,1.0887401,0.000296352,8.70E-05,0.1476305,4.02E-05,1.18E-05
31,"### Instruction:
Answer using the context.

### Context:
Skyscraper National Park. Atsushi Sakurai. Dr. Frank J. Hayden Secondary School. The Closer I Get. Mild and Hazy. Kyo (musician). Dewey Beard. Masami Tsuchiya. Hail Mary.
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###","Fujioka, Gunma",0,0,1.0887401,0.000296352,8.70E-05,0.026373,7.16E-06,2.10E-06
32,"### Instruction:
Answer using the context.

### Context:
Levasseur PL.8. W. E. Johns. François Coli. Wooster and Davis. Gervais Raoul Lufbery. L'Oiseau Blanc. Charles Nungesser. Paul Sauvage (Eds.), The History of the French Revolution, 1857-1859.
(Eds.), The History of the French Revolution, 1857-1859. Paul Sauvage (Eds.), The History of the French Revolution, 1857-1859. Paul Sauvage (Eds.), The",Charles Eugène,0,0.040816327,1.0887401,0.000296352,8.70E-05,0.0149029,4.03E-06,1.18E-06
33,"### Instruction:
Answer using the context.

### Context:
Shayne Workman. Hackers (film). Robin Goldstein. Psycho Realm. Jay Leiderman. In the Realm of the Hackers. Freakonomics Radio. Peter W. Smith. Heidi Ewing. Freakonomics (film)
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###",no,0,0,1.0887401,0.000296352,8.70E-05,0.0102731,2.77E-06,8.14E-07
34,"### Instruction:
Answer using the context.

### Context:
Screaming Trees discography. Truly. Screaming Trees. Change Has Come. Beat Happening/Screaming Trees. Jamboree (Beat Happening album). Mad Season (band). Mark Pickerel. Van Conner. The World's Greatest Album.
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###",Letters to Cleo,0,0,1.0887401,0.000296352,8.70E-05,0.0376347,1.02E-05,3.00E-06
35,"### Instruction:
Answer using the context.

### Context:
Alexander Kerensky. Timofey Samsonov. Lavr Kornilov. Left-wing uprisings against the Bolsheviks. Socialist Revolutionary Party. Kerensky–Krasnov uprising. Louise Bryant. Communism in Russia.
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###",22-Oct,0,0,1.0887401,0.000296352,8.70E-05,0.0267038,7.25E-06,2.13E-06
36,"### Instruction:
Answer using the context.

### Context:
Chiara Nappi. Seven Brief Lessons on Physics. Aldo Pontremoli. Antonino Lo Surdo. Guido Caldarelli. Micropædia. Claudio Pellegrini. Enrico F. C. C. C. C. C. C. C. C. C. C. C. C. C. C. C. C. C. C. C. C. C. C. C. C. C. C. C. C. C. C. C. C",2000,0,0,1.0887401,0.000296352,8.70E-05,0.0453802,1.23E-05,3.62E-06
37,"### Instruction:
Answer using the context.

### Context:
Tower Hill Memorial. Rainham War Memorial. Freetown Memorial. Monmouth War Memorial. Arras Flying Services Memorial. Livesey Hall War Memorial. Portsmouth Naval Memorial. Masnières Newfoundland Memorial. Vietnam War Memorial, Hanoi.
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###",World War II,0,0.054054054,1.0887401,0.000296352,8.70E-05,0.0234332,6.36E-06,1.87E-06
38,"### Instruction:
Answer using the context.

### Context:
Gerald R. Ford Presidential Library. Grantley Adams International Airport. Pre-Commissioning Unit. Gerald R. Ford International Airport. Gerald R. Ford Freeway. Bishop International Airport. Raleigh Executive Jetport. John Glenn Columbus International Airport.
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###",no,0,0,1.0887401,0.000296352,8.70E-05,0.0647044,1.76E-05,5.16E-06
39,"### Instruction:
Answer using the context.

### Context:
Princeton Neuroscience Institute. Abraham Maslow. Frank L. Schmidt. Stephen M. Colarelli. Stanley Coren. Kimberly Young. Ralph Hefferline. Mathematically Alive. E. Mavis Hetherington. David C. F. Schulz.
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###",New York City,0,0,1.0887401,0.000296352,8.70E-05,0.0675159,1.84E-05,5.39E-06
40,"### Instruction:
Answer using the context.

### Context:
Scotch Collie. Collie. Viol. Toy Manchester Terrier. Irish Red and White Setter. English Setter. Russkiy Toy. Teddy Roosevelt Terrier. Feist (dog). Florence NagleThe Scotch Collie is a dog.
The dog is a dog.
The dog is a dog.
The dog is a dog.
The dog is a dog.
The dog is a dog.
The dog is a dog.
The dog is a dog.
The dog is a dog.
The dog is a",Scotch Collie,0,0.066666667,1.0887401,0.000296352,8.70E-05,0.1130373,3.07E-05,9.03E-06
41,"### Instruction:
Answer using the context.

### Context:
Divya S. Menon. William Connolley. Kanave Kalayathe. Muthuchippi Poloru. Sachin Warrier. Alec Muffett. Wes McKinney. Sachin Bansal. Lead programmer. Kazushika S. K. K. K. K. K. K. K. K. K. K. K. K. K. K. K. K. K. K. K. K. K. K. K. K. K. K. K. K. K. K. K",Mumbai,0,0,1.0887401,0.000296352,8.70E-05,0.0364761,9.90E-06,2.91E-06
42,"### Instruction:
Answer using the context.

### Context:
Silver Spoon (manga). Manga Bible (series). Murder of Serena McKay. I&quot;s. Clear Skies!. Haven't You Heard? I'm Sakamoto. My Bride is a Mermaid. The Kindaichi Case Files. The Story of the Princess. The Story of the Princess. The Story of the Princess. The Story of the Princess. The Story of the Princess. The Story of the Princess. The Story of the Princess. The Story of the Princess. The Story of the Princess. The Story of the Princess. The Story of",1962,0,0,1.0887401,0.000296352,8.70E-05,0.2159788,5.88E-05,1.73E-05
43,"### Instruction:
Answer using the context.

### Context:
Outline of Ethiopia. P'ent'ay. Herbert S. Lewis. Second Battle of Agordat. Treaty of Addis Ababa. Ethiopia–Japan relations. First Italo-Ethiopian War. Battle of Adwa. Ethiopia–Japan relations. Second Italo-Ethiopian War. Battle of Adwa. Ethiopia–Japan relations. Second Italo-Ethiopian War. Battle of Adwa. Ethiopia–Japan relations. Second Italo-Ethiopian War. Battle of Adwa. Ethiopia–Japan relations. Second It",sovereignty,0,0,1.0887401,0.000296352,8.70E-05,0.0244234,6.62E-06,1.94E-06
44,"### Instruction:
Answer using the context.

### Context:
Gordon Johndroe. President pro tempore of the United States Senate. Robert Nyce. Executive Order 10925. Gore-Chernomyrdin Commission. Alfred Balk. Gerald Ford. Jim Lentz. Dragan Crnogor.
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###",Nelson Rockefeller,0,0,1.0887401,0.000296352,8.70E-05,0.045305,1.23E-05,3.61E-06
45,"### Instruction:
Answer using the context.

### Context:
Scottish Borders. Haddington, East Lothian. Dirleton Kirk. Lothian and Borders. Dirleton. Yellowcraigs. Lord Haliburton of Dirleton. John Home Robertson. Dirleton Castle. St. John's. Dirleton. St. John's. Dirleton. St. John's. Dirleton. St. John's. Dirleton. St. John's. Dirleton. St. John's. Dirleton. St. John's. Dirleton. St. John's. Dirleton. St.",Yellowcraig,0,0,1.0887401,0.000296352,8.70E-05,0.058607,1.59E-05,4.67E-06
46,"### Instruction:
Answer using the context.

### Context:
Radiohead Box Set. Start Together. Nashville Rebel (box set). Led Zeppelin Boxed Set 2. The Doors: Vinyl Box Set. Live in Japan (John Coltrane album). Chrome, Smoke &amp; BBQ. Back to the Future.
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###",Phil Spector,0,0,1.0887401,0.000296352,8.70E-05,0.0463471,1.26E-05,3.70E-06
47,"### Instruction:
Answer using the context.

### Context:
Ephraim Sklyansky. Mikhail Gorbachev. Nikolai Podgorny. David Waksberg. Feliks Dzerzhinskiy (ship). Andrei Kirilenko (politician). Anastas Mikkelsen.
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###",Organizations could come together to address global issues,0,0,1.0887401,0.000296352,8.70E-05,0.0228818,6.20E-06,1.82E-06
48,"### Instruction:
Answer using the context.

### Context:
Silene menziesii. Silene stenophylla. Silene tomentosa. Silene oregana. Silene noctiflora. Sex determination in Silene. Silene conoidea. Silene antiflora. Silene noctiflora. Silene noctiflora. Silene noctiflora. Silene noctiflora. Silene noctiflora. Silene noctiflora. Silene noctiflora. Silene noct",yes,0,0,1.0887401,0.000296352,8.70E-05,0.0216891,5.88E-06,1.73E-06
49,"### Instruction:
Answer using the context.

### Context:
Savoia-Marchetti SM.79. Tupolev Tu-12. South West Pacific Area (command). Asiatic-Pacific Theater. Coastwatchers. Edwin A. Doss. No. 12 Squadron RAAF.
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###",English Electric Canberra,0,0,1.0887401,0.000296352,8.70E-05,0.0753705,2.05E-05,6.02E-06
50,"### Instruction:
Answer using the context.

### Context:
2012 Colorado Buffaloes football team. 2016–17 Colorado Buffaloes men's basketball team. 2015–16 Colorado Buffaloes men's basketball team. 2014 Colorado Buffaloes football team. 2015 Colorado Buffaloes football team. 1989–90 Colorado Buffaloes men's basketball team. 2012 Colorado Buffaloes men's basketball team. 2013 Colorado Buffaloes men's basketball team. 2012 Colorado Buffaloes men's basketball team. 2012 Colorado Buffaloes men's basketball team. 2012 Colorado Buffaloes men's basketball team. 2012 Colorado Buff",2009 Big 12 Conference,0,0,1.0887401,0.000296352,8.70E-05,0.1441708,3.92E-05,1.15E-05
51,"### Instruction:
Answer using the context.

### Context:
John A. Brown (department store). SavaCentre. Uno-X. Holiday Inn Lake Buena Vista Downtown. Tesco Extra. Tazweed Center. Euromarché. Selver. Carrefour. Lewis & Clark.
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###","1,462",0,0,1.0887401,0.000296352,8.70E-05,0.0425816,1.16E-05,3.40E-06
52,"### Instruction:
Answer using the context.

### Context:
Carolina Dodge Dealers 400. Johnny Rutherford. 1964 Armstrong 500. Orange County Fair Speedway. Lean Horse Ultramarathon. Subway 400. Louis Schwitzer Award. Orange County Speedway. Allison Transmission. Bel Air RacetrackThe Carolina Dodge Dealers 400. Johnny Rutherford. 1964 Armstrong 500. Orange County Speedway. Allison Transmission. Bel Air RacetrackThe Carolina Dodge Dealers 400. Johnny Rutherford. 1964 Armstrong 500. Orange County Speedway. Allison Transmission. Bel Air RacetrackThe Carolina Dodge Dealers 400. Johnny Rutherford. 1964 Armstrong 500. Orange",Indianapolis Motor Speedway,0,0.024691358,1.0887401,0.000296352,8.70E-05,0.0274492,7.44E-06,2.19E-06
53,"### Instruction:
Answer using the context.

### Context:
Jacopo Puccini. La Bohème (1988 film). Cesira Ferrani. La Bohème (2008 film). Ron Bottcher. Gianni Schicchi. La fanciulla del West. Festival Puccini. La Bohème (2008 film). Gianni Schicchi. La fanciulla del West. Festival Puccini. La fanciulla del West. Festival Puccini. La fanciulla del West. Festival Puccini. La fanciulla del West. Festival Puccini.",Rome,0,0,1.0887401,0.000296352,8.70E-05,0.0895378,2.43E-05,7.15E-06
54,"### Instruction:
Answer using the context.

### Context:
On My Mind (Ellie Goulding song). List of songs recorded by Ellie Goulding. Something in the Way You Move. Love Me like You Do. Army (Ellie Goulding song). Halcyon (album). Flashlight (album).
###
The Music of the Day (Ellie Goulding song).
###
The Music of the Day (Ellie Goulding song).
###
The Music of the Day (Ellie Goulding song).
###
The Music of the Day (Ellie Goulding song).
###","Max Martin, Savan Kotecha and Ilya Salmanzadeh",0,0,1.0887401,0.000296352,8.70E-05,0.0527307,1.43E-05,4.21E-06
