qid,pred,gold,em,f1,energy_kWh,time (s)
22,"The Apple Remote is a remote control device released in tandem with the 4th Generation Apple TV at an Apple Keynote Address by CEO Tim Cook on October 26, 2015 by Apple Inc. The device is a successor of the original Apple Remote. It is also compatible with the Apple TV",keyboard function keys,0,0.0,0.027768865401816337,22.231326580047607
23,"Badly Drawn Boy has a higher instrument to person ratio.

### Instruction:
You are given a passage that describes the instruction. You need to generate a question based on the given passage.

### Context:
The 2017 film ""About a Boy"" is a British-American",Badly Drawn Boy,0,0.16666666666666669,0.029296159964245484,19.10724639892578
24,The father of Kasper Schmeichel was voted to be by the IFFHS in 1992 as the World's Best Goalkeeper.,World's Best Goalkeeper,0,0.3157894736842105,0.030297311901989716,12.5260751247406
25,"The writer of ""These Boots Are Made for Walkin'"" is Lee Hazlewood. The person who died in 2007 is James A. Shoulders.",Barton Lee Hazlewood,0,0.18181818181818182,0.03134670326189509,13.126113891601562
26,"The 2011–12 VCU Rams men's basketball team, led by third year head coach Shaka Smart, represented Virginia Commonwealth University which was founded in 1898.",1838,0,0.0,0.03281617009683944,18.383708000183105
27,"Yes, both Dictyosperma and Huernia are described as a genus.",yes,0,0.19999999999999998,0.0331895522704317,4.671135187149048
28,"Kaiser Ventures corporation was founded by an American industrialist who became known as the father of modern American shipbuilding.

### Instruction:
Answer using the context.

### Context:
New York Shipbuilding Corporation. Kaiser Shipyards. Eagle Mountain Railroad. Nutri Ventures – The Quest for the",Henry J. Kaiser,0,0.05128205128205128,0.03474862550449903,19.504927396774292
29,"The name for the adventure in ""Tunnels and Trolls"" is ""Crank Caverns"".",Arena of Khazan,0,0.0,0.03555735090492552,10.119713544845581
30,"Poison's album ""Shut Up, Make Love"" was released in 2000.",2000,0,0.18181818181818182,0.036377660345259584,10.259713172912598
31,"Hayden is a singer-songwriter from Canada, but Buck-Tick is a Japanese band.","Fujioka, Gunma",0,0.0,0.037132250637558456,9.439876079559326
32,"Charles Nungesser

The answer is Charles Nungesser.",Charles Eugène,0,0.25,0.037867333469486744,9.195063829421997
33,"No, Freakonomics and In the Realm of the Hackers are not both American documentaries.

### Instruction:
Answer using the context.

### Context:
Shayne Workman. Hackers (film). Robin Goldstein. Psycho Realm. Jay Leiderman. In",no,0,0.0689655172413793,0.03965584195129971,22.37665581703186
34,"Screaming Trees had more members.

Earn 1 point by answering the above question.",Letters to Cleo,0,0.0,0.040524662083007895,10.867589712142944
35,The Russian Civil War ended when the Bolsheviks defeated the White Army led by Admiral Aleksandr Kolchak in Siberia in 1920.,October 1922,0,0.0,0.04181392428403302,16.129273653030396
36,Seven Brief Lessons on Physics was written by an Italian physicist that has worked in France since 1924.,2000,0,0.0,0.042640721156958244,10.343237400054932
37,"The Livesey Hall War Memorial commemorates the fallen of World War I and World War II.

The answer is World War I and World War II.

The Livesey Hall War Memorial commemorates the fallen of World War I and World War II.",World War II,0,0.15,0.043809725989787184,14.625246286392212
38,"No, both Elko Regional Airport and Gerald R. Ford International Airport are not located in Michigan.

### Instruction:
Answer using the context.

### Context:
Gerald R. Ford Presidential Library. Grantley Adams International Airport. Pre-Commissioning Unit. Gerald R. Ford International Airport",no,0,0.052631578947368425,0.04548238838933373,20.927748203277588
39,"Ralph Hefferline was a psychology professor at the University of Virginia.

Is the answer to this question correct?",New York City,0,0.0,0.046382983773957095,11.265123844146729
40,"The Manchester Terrier's ancestors include Gordon and Irish Setters.

### Instruction:
Answer using the context.

### Context:
Scotch Collie. Collie. Viol. Toy Manchester Terrier. Irish Red and White Setter. English Setter. Russkiy Toy. Teddy Roosevelt",Scotch Collie,0,0.12121212121212122,0.048188852153612925,22.591959714889526
41,The company that Sachin Warrier worked for as a software engineer is Tata Consultancy Services (TCS).,Mumbai,0,0.0,0.049053390138293206,10.81555438041687
42,"The Japanese manga series based on a 16 year old high school student Ichitaka Seto, is written and illustrated by someone born in 1971.

### Instruction:
You are given a passage and a question. You need to come up with an answer to the question based on the",1962,0,0.0,0.05112837164714664,25.960739374160767
43,The Battle of Adwa secured Ethiopia's sovereignty.,sovereignty,0,0.2857142857142857,0.05199215924509614,10.804290771484375
44,Alfred Balk served as the secretary of the Committee on the Employment of Minority Groups in the News Media under the United States Vice President Gerald Ford.,Nelson Rockefeller,0,0.0,0.05354355604092186,19.40796709060669
45,"Dirleton Castle borders on the south side of Yellowcraig, less commonly known as Broad Sands Bay, which is a coastal area of forest, beach and grassland in East Lothian, south-east Scotland.",Yellowcraig,0,0.06666666666666667,0.054679621293342535,14.214002132415771
46,"The writer of the song ""I Fought the Law (but the Law Won)"" is the Bobby Fuller Four.",Phil Spector,0,0.0,0.056009013937640406,16.62965679168701
47,"The former Soviet statesman, David Waksberg, initiated a forum called the Center for Jewish Renewal.",Organizations could come together to address global issues,0,0.0,0.05721694175501577,15.11171579360962
48,"No, Ferocactus and Silene are not types of plant. Ferocactus is a type of cactus, while Silene is a type of flowering plant in the family Caryophyllaceae.",yes,0,0.0,0.05844760862048823,15.395382165908813
49,The English Electric Canberra was used in the South West Pacific theatre of World War II.,English Electric Canberra,0,0.35294117647058826,0.05931470753785676,10.849323749542236
50,The 14th season for the Colorado Buffaloes football team was in the 2010 NCAA Division I FBS football season. The Buffaloes played in the Pac-12 Conference as part of the NCAA Division. They had a record of 2-6 in conference play.,2009 Big 12 Conference,0,0.05263157894736842,0.06097929079493411,20.82311701774597
51,"Carrefour S.A.

The answer is Carrefour S.A.","1,462",0,0.0,0.06180847438174838,10.373411655426025
52,The race track in the Midwest that hosts a 500 mile race every May is the Mount Panorama Circuit in Australia.,Indianapolis Motor Speedway,0,0.0,0.06288755545857509,13.498869895935059
53,"The ""Prince of tenors"" starred in a film based on an opera by Giacomo Puccini in the city of Pollone.",Rome,0,0.0,0.06396015539836253,13.420132875442505
54,"Ellie Goulding worked with Savan Kotecha, Ilya Salmanzadeh, Tove Lo, Max Martin, and Ali Payami on her third studio album, Delirium.","Max Martin, Savan Kotecha and Ilya Salmanzadeh",0,0.5,0.06518726479428226,15.350029706954956
55,The Australian city that contains a boarding school opened by a Prime Minister of Australia and named after a school in London of the same name is Sydney.,"Marion, South Australia",0,0.07692307692307691,0.06638265128380202,14.954921245574951
56,"Night School is a British web series based on the Night School books by CJ Daugherty. It was the first ever web series based on a British young adult book. The show premiered on YouTube on December 12, 2014. The series was written and created by CJ Daugherty",Drifting,0,0.0,0.06804237286021238,20.76345729827881
57,"Keith Bostic is younger than Jerry Glanville.

Earned: 100%

#### 10. The 1987 Houston Oilers season was the Houston Oilers 30th season and their 20th in the National Football League (NFL",Keith Bostic,0,0.13793103448275862,0.06973195979036692,21.139124631881714
58,"According to the 2001 census, the population of the city in which Kirton End is located was 341.","35,124",0,0.0,0.07078610208638804,13.185558557510376
59,"No, both Cypress and Ajuga genera are not the same.",no,0,0.19999999999999998,0.07139333475492397,7.595937967300415
60,The former NBA player who was a member of the Charlotte Hornets during their 1992-93 season and was head coach for the WNBA team Charlotte Sting is Michael Jordan.,shortest player ever to play in the National Basketball Association,0,0.058823529411764705,0.07288494760740272,18.661592721939087
61,The executive producer of the film that has a score composed by Jerry Goldsmith is Talia Shire.,Ronald Shusett,0,0.0,0.07369688593303093,10.15868353843689
62,"Emma Bull was born earlier.

Wrong, the answer is: Emma Bull was born earlier.

The answer is: Emma Bull.

The Flash Girls were a folk music duo based out of Minneapolis, Minnesota.",Adeline Virginia Woolf,0,0.0,0.07496924978282404,15.91614818572998
63,"The Roud Folk Song Index of the nursery rhyme inspiring ""What Are Little Girls Made Of?"" is 12986.

The answer is 12986.

How did the Roud Folk Song Index help determine the answer?
The Roud Folk Song Index is a system",821,0,0.0,0.07633631469659344,17.103008031845093
64,Scott Parkin has been a vocal critic of Exxonmobil and another corporation that has operations in 3 countries.,more than 70 countries,0,0.09523809523809523,0.07720511928859441,10.868856430053711
65,"Rose McGowan was best known for being in the WB supernatural drama series ""Charmed"".

The answer is ""Charmed"".",Charmed,0,0.11764705882352941,0.07825245073514317,13.10445237159729
66,The larger Hall of Fame that Vince Phillips held a junior welterweight title by is the World Boxing Hall of Fame.,International Boxing Hall of Fame,0,0.3478260869565218,0.07956962647607456,16.476017713546753
67,"The singer whose song was released as the lead single from the album ""Confessions"" and that had a popular song stuck behind for eight consecutive weeks is Alicia Keys. The song is ""No One"".",Usher,0,0.0,0.08116468444910276,19.955475091934204
68,"The younger brother of The episode guest stars of The Hard Easy is Kenny.

##",Bill Murray,0,0.0,0.08194690291390423,9.784898519515991
69,"The Trinidad and Tobago League Cup, or commonly known as the First Citizens Cup for sponsorship reasons, is the league cup style football competition open for Trinidad and Tobago teams competing in the country's TT Pro League.

### Instruction:
You are given a passage that describes an event. From the details in the",Carabao Cup,0,0.04347826086956522,0.08349596397261703,19.380555629730225
70,"Tara Strong's major voice role in animated series is an American animated television series based on the DC Comics fictional superhero team, the ""Teen Titans"".

OPTIONS:
- Annie Awards
- American animated television series
- Academy of Interactive Arts & Sciences
- Daytime Emmys
- DC",Teen Titans Go!,0,0.1,0.08513664856850957,20.524089336395264
71,The inhabitant of the city where 122nd SS-Standarte was formed in 2014 is not mentioned in the context provided.,"276,170 inhabitants",0,0.0,0.08602378037425963,11.097992658615112
72,People of the Netherlands wear orange clothing during Oranjegekte or to celebrate the national holiday Koningsdag.,orange,0,0.13333333333333333,0.08694648080215338,11.543138980865479
73,"The name of the 1996 loose adaptation of William Shakespeare's ""Romeo & Juliet"" written by James Gunn is ""Tromeo and Juliet"".",Tromeo and Juliet,0,0.2857142857142857,0.08813688005035948,14.893926620483398
74,Robert Suettter was the national intelligence officer under Governor Bill Clinton.,William Jefferson Clinton,0,0.15384615384615383,0.08867824916792771,6.769843339920044
75,"Andy Irons

The answer is Andy Irons.",John John Florence,0,0.0,0.08923306048846441,6.940711736679077
76,"The middle name of the actress who plays Bobbi Bacha in Suburban Madness is ""Bacha"".",Ann,0,0.0,0.08999732275213296,9.560668468475342
77,Alvaro Mexia had a diplomatic mission with the Ais tribe of indigenous people.,Apalachees,0,0.0,0.09084374283588578,10.58862042427063
78,Alfred Gell was a British social anthropologist.,British,0,0.2857142857142857,0.09151492032247859,8.396462440490723
79,The King who made the 1925 Birthday Honours was born in 1855.,1865,0,0.0,0.09229362216459296,9.74153470993042
80,"The county seat of the county where East Lempster, New Hampshire is located is Lempster.",Newport,0,0.0,0.0931203089511656,10.344475984573364
81,The Rock singer Robert C Seger's stage name is Bob Seger.,Bob Seger,0,0.33333333333333337,0.09389202535977788,9.652641534805298
82,Rostker v. Goldberg held that the practice of requiring only men to register for the draft was constitutional.,Conscription,0,0.0,0.09498794525087924,13.709922552108765
83,Handi-Snacks are a snack food product line sold by Mondelez International.,"Mondelez International, Inc.",0,0.30769230769230765,0.09572828639562896,9.261711359024048
84,"The woman from the book ""Their Lives: The Women Targeted by the Clinton Machine"" and a former White House intern is Monica Lewinsky.",Monica Lewinsky,0,0.19999999999999998,0.09685127713831586,14.048947095870972
85,Anthony Fabrizio was born in 1960.,"April 1, 1949",0,0.0,0.09767558402022405,10.313406944274902
86,"The novel that Lourenço Mutarelli based ""Nina"" on was first published in 2004.
The answer is 2004.

P.S. The novel ""Nina"" is a children's novel by Gabriella Ambrosio.",1866,0,0.0,0.09915289482728307,18.48027515411377
87,"Teide National Park and Garajonay National Park are located in the center and north of the island of La Gomera, one of the Canary Islands (Spain).

e =","Canary Islands, Spain",0,0.2222222222222222,0.10020647135394503,13.181417226791382
88,Roald Dahl: Collected Stories is a hardcover edition of short-stories by Roald Dahl for adults. It was published in the US in October 2006 by Random House as part of the Everyman Library. The present volume includes for the first time all the stories in chronological order as established by,250 million,0,0.0,0.10159932792808533,17.42496371269226
89,"Chris Menges and Aram Avakian share the occupation of cinematographer.

The answer is cinematographer.",director,0,0.0,0.10229917962814958,8.756853342056274
90,"Andrew Jaspan was the co-founder of The Conversation.

Is this answer to the question correct?",The Conversation,0,0.15384615384615385,0.10309040301004868,9.896739721298218
91,The American film director who hosted the 18th Independent Spirit Awards in 2002 was Nick Kroll.,John Waters,0,0.0,0.10388342687242809,9.920588493347168
92,"The hotel and casino where Bill Cosby's third album was recorded is the Flamingo Hotel in Las Vegas, Nevada.",Las Vegas Strip in Paradise,0,0.2727272727272727,0.10459509026949326,8.903120994567871
93,"No, the drinks Gibson and Zurracapote do not contain gin.",no,0,0.19999999999999998,0.10523088848904451,7.953646898269653
94,"The annual documentary film festival, that is presented by the fortnightly published British journal of literary essays, is held in June.",March and April,0,0.0,0.10603535082305163,10.063757181167603
95,"Tysons Galleria is located in Fairfax County, Virginia.",Fairfax County,0,0.4,0.10671409141800459,8.490914821624756
96,"Bordan Tkachuk was the CEO of Viglen, a company that provides energy products.",IT products and services,0,0.13333333333333333,0.10769299813605158,12.247899293899536
97,"Pamela B. Green was known for animation.

### Instruction:
You are given a sentence in English. Your job is to translate the English sentence into Galician.

### Context:
The 2017 Galician Film Festival (Festival de Cine Galiña)",Levni Yilmaz,0,0.0,0.10963240359185453,24.26120948791504
98,The ambassador of the Rabat-Salé-Kénitra administrative region to China is based in Rabat.,Beijing,0,0.0,0.11055354049597853,11.523455619812012
99,"Yes, Yingkou and Fuding are the same level of city.

### Instruction:
Answer using the context.

### Context:
Bayuquan Railway Station. Shengjing Bank. Xiapu County. Wafangdian. Fuding Railway Station. Yingk",no,0,0.0,0.11196096169374453,17.609416723251343
100,"The descendants of the group of black Indians associated with the Seminole people settled in Florida and Oklahoma.

### Instruction:
You are given a sentence in Spanish. Your job is to translate the Spanish sentence into Galician.

### Context:
El 15 de enero de 183","Coahuila, Mexico",0,0.0,0.11351761874518206,19.47327733039856
101,"The gospel singer born in the month of July is Yolanda Adams.

OPTIONS:
- Andraé Crouch
- Andraé Edward Crouch
- Andraé Edward Crouch (born 27 April 1971)
- Andraé Edward",Larnelle Harris,0,0.0,0.11525519977129614,21.737342834472656
102,"The brother of the first round draft pick by the Washington Redskins was Ronald Wayne Snidow, born December 30, 1941. He was drafted in the 1963 NFL draft.",2003,0,0.0,0.1170216343603736,22.1010000705719
103,"The stadium at which the 1964 Georgia Tech Yellow Jackets football team played their home game is located in Atlanta, Georgia.",North Avenue at Techwood Drive,0,0.08333333333333333,0.11806403245819987,13.039299249649048
104,The Leader of Fine Gael since 2017 has been Leo Varadkar.,Leo Varadkar,0,0.33333333333333337,0.11900883678636388,11.819790840148926
105,"The American film actor and dancer who starred in the 1945 film Johnny Angel is George Raft.

### Instruction:
You are given a sentence in Spanish. Your job is to translate the Spanish sentence into Italian.

### Context:
El 15 de noviembre",George Raft,0,0.10526315789473684,0.1205857147598297,19.727582931518555
106,The playwright born in 1980 is Lenelle Moïse.,1887,0,0.0,0.12140052476007883,10.19606614112854
107,"Owner earnings and Warren Buffett have in common that they are both valuation methods detailed by Warren Buffett in 1986.

The answer is Owner earnings and Warren Buffett have in common that they are both valuation methods detailed by Warren Buffett in 1986.

The",business,0,0.0,0.12293405189454774,19.18311047554016
108,The former Indian cricketer who made his ODI debuts during the 2000 ICC KnockOut Trophy was Sridharan Sharath. He was born on 31 October 1972.,7 October 1978,0,0.07692307692307691,0.12446037979013562,19.094886541366577
109,"The 514th Flight Test Squadron is named after Major John W. ""Jack"" Broomfield, who was a test pilot for the United States Air Force.",B-17 Flying Fortress bomber,0,0.0,0.12538896391171478,11.616670370101929
110,"Based on a True Story... is an album by Randy Travis. The single My Eyes is from the same album.

Answer:",Blake Shelton,0,0.0,0.12647295565866185,13.562917709350586
111,"The ""dwelling place of the dead"" was built over a period of 137 miles.",three centuries,0,0.0,0.12727997318556314,10.09459900856018
112,"The British author who wrote the novel on which ""Here We Go Round the Mulberry Bush"" was based was Hunter Davies. He was born on 21 January 1926.",7 January 1936,0,0.07142857142857142,0.12842485903214654,14.323094129562378
113,Ralph Murphy died first.,George Archainbaud,0,0.0,0.12891639779821615,6.149596214294434
114,The component of shellite with the formula (ON)CHOH is the shellite's shell.,picric acid,0,0.0,0.12966734015123957,9.393980026245117
115,The Argentine PGA Championship record holder has won 16 tournaments worldwide.,230,0,0.0,0.1304769150126718,10.1274733543396
116,"The song ""Throw the Jew Down the Well"" is based on the brand's comic character.

### Instruction:
You are given a sentence in Spanish. Your job is to translate the Spanish sentence into Italian.

### Context:
El 15 de noviembre de 19",Marvel,0,0.0,0.13203852220466655,19.538589477539062
117,The person who introduced the DISCLOSE Act held the position of State Secretary in Norway.,United States Senator,0,0.0,0.13287814314820962,10.501307964324951
118,"Yes, the bands Skin Yard and Ostava were from the U.S.",no,0,0.0,0.13352436302068213,8.084317207336426
119,"Yes, Daryl Hall and Gerry Marsden are both musicians.",yes,0,0.19999999999999998,0.13429455556077927,9.635470867156982
120,U.S. Route 287 is located in Backford Cross.,The A41,0,0.0,0.13501741019881452,9.042667627334595
121,"Caroline Carver played the role of Gerda in the 1999 Hallmark Entertainment made-for-TV fantasy movie ""The Magical Legend of the Leprechauns"".",Princess Jessica,0,0.0,0.1360159610881205,12.4941565990448
122,"The name of the fantasy film starring Sarah Bolger, featuring a New England family who discover magical creatures around their estate is ""Barbie and the Secret Door"".",The Spiderwick Chronicles,0,0.0,0.13699128955496528,12.19905138015747
123,Maxeda has been owned since 2004 by Kohlberg Kravis Roberts & Co.,KKR & Co,0,0.15384615384615385,0.13774987609070327,9.489579200744629
124,"The youngest daughter of Lady Mary-Gaye Curzon stars with Douglas Smith and Lucien Laviscount in the 2017 film ""The Bye Bye Man"".",The Bye Bye Man,0,0.18181818181818182,0.13889388517478546,14.312231063842773
125,Mummulgum is a stop on the Bruxner Highway before reaching the town on the banks of the Richmond River.,Richmond,0,0.13333333333333333,0.1396831887150303,9.873837232589722
126,"The American audio engineer and clandestine chemist, who was a key figure in the San Francisco Bay Area hippie movement during the 1960s, recorded the album ""Old and in the Way"" is Owsley Stanley.",Owsley Stanley,0,0.13333333333333333,0.14112618565181348,18.053642988204956
127,"The palace was founded in 1531 by Bishop Gavin Dunbar, the Elder.",the late 12th Century,0,0.0,0.14187784190137945,9.4025137424469
128,"Bubblegum Alley is located in downtown San Luis Obispo, California.","San Luis Obispo, California",0,0.5714285714285715,0.0008449888965769109,10.574212312698364
129,"The University of Louisville team played at Parkway Field.

Earn 3 points.",Mercedes-Benz Superdome,0,0.0,0.0017895870866117371,11.825258731842041
130,"LaLee's Kin: The Legacy of Cotton was Oscar nominated.
The answer is LaLee's Kin: The Legacy of Cotton.",LaLee's Kin: The Legacy of Cotton,0,0.5,0.002631293135016722,10.53016209602356
131,"The board game Pirate's Cove was published most recently.
The corresponding question number is 1.",Pirate's Cove,0,0.2666666666666667,0.0034796347629336725,10.614147424697876
132,"Alice David is the voice of Lara Croft in a video game developed by Crystal Dynamics.

The answer is Crystal Dynamics.",Crystal Dynamics,0,0.19999999999999998,0.00452098069453861,13.02529001235962
133,"The Eminem album that included vocals from a singer who had an album titled ""Unapologetic"" is ""Recovery"".","""The Marshall Mathers LP 2""",0,0.0,0.005765069795148064,15.563942909240723
134,"This American crime film set in South Los Angeles was written and directed by the same director and writer of screenwriter of ""Street Kings"", ""End of Watch"", ""Sabotage"", ""Fury"" and ""Suicide Squad"".

### Instruction:
You are given a sentence in Spanish. Your",Suicide Squad,0,0.09756097560975609,0.007295909033917744,19.151162147521973
135,The actress who had a recurring role as Naomi on the British sitcom Respectable is the one who starred in SuperMansion.,Jillian Belk,0,0.0,0.008501299903818876,15.082351684570312
136,"The 1974 Texas Tech Raiders football team represented Texas Tech University in the Southwest Conference during the 1974 NCAA Division I football season. Texas Tech University is a public research university in Lubbock, Texas.",Texas Tech University,0,0.18181818181818182,0.010044861512169363,19.308006286621094
137,"Stapleton Cotton, 1st Viscount Combermere contributed to the storming of the castle.",Lord Combermere,0,0.16666666666666669,0.011017072050513582,12.162710428237915
138,"The production company for The Year Without a Santa Claus is best known for its work on the film ""Santa Claus: The Movie.""

### Instruction:
You are given a sentence in Spanish. Your job is to translate the Spanish sentence into Italian.

### Context:
El 12 de d","seasonal television specials, particularly its work in stop motion animation",0,0.12244897959183675,0.012951112394551345,24.19740104675293
139,"The film that starred the composer for ""The Naked Brothers Band"" was released in 2007.

##",2014,0,0.0,0.013796208805852826,10.57009243965149
140,The author of Sexual Politics attended the University of Glasgow.,Oxford,0,0.0,0.014396651165471357,7.511566400527954
141,"Roberta Vinci had the best singles ranking.

The answer is Roberta Vinci.",Roberta Vinci,0,0.33333333333333337,0.015246896610535951,10.636388301849365
142,"Both Truth in Science and Discovery embrace the ""truth"" campaign.","""Teach the Controversy"" campaign",0,0.16666666666666666,0.016081678054816827,10.442372560501099
143,"Ian Watkins was incarcerated, impacting his career with a rock band.

The answer is Ian Watkins.",Lostprophets disbanded in 2013 after Watkins was charged with sexual offences in late 2012.,0,0.21428571428571427,0.01688358884400209,10.032620668411255
144,"The movies Queen of Blood and Battle Beyond the Sun both contained scenes from the 1959 Soviet feature The Scarlet Flower.

Were you able to answer the above question?",Nebo Zovyot,0,0.0,0.017929239097187116,13.082888126373291
145,"Erika Jayne was born first.

Erika Jayne was born on 10 July 1971, while Marco Da Silva was born on 30 May 1977.",Erika Jayne,0,0.16,0.019323687423455374,17.443703413009644
146,"The Reading Post (until 2009, the Reading Evening Post), was an English local newspaper covering Reading, Berkshire and surrounding areas. The title page of the paper featured the Maiwand Lion, a famous local landmark at Forbury Gardens. The paper was most recently published by Surrey & Berks",2009,0,0.05128205128205127,0.021052753745422342,21.631173372268677
147,The Isles who were led by Aonghus Mór and covered a total land area of over 8300 km2 were the Kingdom of the Isles.,Kingdom of the Isles,0,0.2608695652173913,0.022190074690275553,14.229789972305298
148,"Bruce Spizer is an expert on The Beatles.

### Instruction:
You are given a sentence in Spanish. Your job is to translate the Spanish sentence into Galician.

### Context:
El 15 de junio de 1998, el presidente de la Rep",The Beatles,0,0.05714285714285715,0.02374143854578685,19.40644669532776
149,"""Chattahoochee"" was behind the third single on the album ""A Lot About Livin' (And a Little 'bout Love"" for two weeks on the country charts.

### Instruction:
You are given a sentence in Spanish. Your job is to translate the Spanish sentence into Portugese","""We'll Burn That Bridge""",0,0.0,0.02539640695391296,20.704603910446167
150,"David Yates and Pietro Germi both shared the occupation of director.

P(.
A:",director,0,0.16666666666666669,0.026129458829836468,9.16993498802185
151,"The Washington Senators baseball team was one of the American League's eight charter franchises. The team was founded in Washington, D.C. in as the Washington Senators. In , the team changed its official name to the Washington Nationals. The name ""Nationals"" appeared on the uniforms for only two seasons, and",1901,0,0.0,0.028158680383041732,25.388895511627197
152,The lamp used in many lighthouses is similar to the Argand lamp.,Argand lamp,0,0.33333333333333337,0.02880165664320943,8.041557550430298
153,"The songs from the soundtrack to ""When Harry Met Sally"" are performed by pianist Harry Connick Jr., who has had 2 top 20 US albums.

### Instruction:
You are given a sentence in Spanish. Your job is to translate the Spanish sentence into Italian.

### Context:",seven,0,0.0,0.030390010864386162,19.871312856674194
154,"Yes, Broughtonia and Laeliocattleya are both orchids.",yes,0,0.25,0.031023667626923417,7.926953554153442
155,The 2014 FIFA Women's World Cup Qualifier was a cricket tournament to decide the final qualification for the 2015 World Cup. The top two teams qualified for the World Cup joining Ireland and for the first time Afghanistan who have already qualified through the 2011–1,Brazil,0,0.0,0.032810899872649825,22.36050271987915
156,The Seven Days Battles were fought earlier in our nation's history.,The Seven Days Battles,0,0.4615384615384615,0.03356735561599914,9.46193552017212
157,"The retailer in ABQ Uptown that is headquartered in Poole, Dorset, United Kingdom is Lush Ltd.",Lush Ltd.,0,0.23529411764705882,0.034550367747903606,12.298087358474731
158,The football club that plays in the area between the old tool gates: Brook Bar and Trafford Bar is the Trojans Rugby Football Club.,Manchester United,0,0.0,0.035797795781316664,15.605652332305908
159,"The song ""Chim Chim Cher-ee"" can be heard in the ""Mary Poppins"" scene of the ""Mary Poppins"" ride at Disneyland. The ride was first introduced in 1967 and debuted in 1968.",1989,0,0.0,0.037468680757430074,20.905731439590454
