qid,original_pred,pred,gold,em,f1,inference_duration (s),inference_energy_consumed (kWh),inference_emissions (kg),retrieval_duration (s),retrieval_energy_consumed (kWh),retrieval_emissions (kg)
28,Real Madrid.,Real Madrid.,Real Madrid,1,1.0,0.2976599000103306,8.378093629405611e-05,2.459980795928152e-05,0.0,0.0,0.0
29,November 9 1989.,"November 9, 1989.",summer of 1990 and continued until 1992,0,0.0,0.3912009999912698,0.00011340766462937875,3.329882541777281e-05,0.0,0.0,0.0
30,water.,water.,a water-soluble binder medium (usually glutinous material such as egg yolk or some other size),0,0.0,0.23176900000544265,6.469986111543361e-05,1.8997211404341513e-05,0.0,0.0,0.0
31,London England.,"London, England.","The National Era, an abolitionist periodical",0,0.0,0.27777399998740293,7.580587376167302e-05,2.2258165391916182e-05,0.0,0.0,0.0
32,December 15 2024.,"December 15, 2024.",Super Bowl LII,0,0.0,0.36863799998536706,0.00010746611075841351,3.1554262863679706e-05,0.0,0.0,0.0
33,"""Welcome to the Jungle"" (2023)","""Welcome to the Jungle"" (2023)",Action Jackson,0,0.0,0.293615000002319,8.685986408258381e-05,2.5503844553626076e-05,0.0,0.0,0.0
34,"The song ""I Wanna Be Sedated"" was sung by The Rutles.","The song ""I Wanna Be Sedated"" was sung by The Rutles.",the Ramones,0,0.0,0.35514669999247417,0.00010409046905102843,3.056310495336992e-05,0.0,0.0,0.0
35,20 years.,20 years.,usually 20 years from the filing date,0,0.5,0.22489620000123978,6.366140715989559e-05,1.869229994105671e-05,0.0,0.0,0.0
36,Symbolizes American freedom and unity.,Symbolizes American freedom and unity.,"the thirteen British colonies that declared independence from the Kingdom of Great Britain, and became the first states in the U.S.",0,0.0909090909090909,0.274887800012948,7.623532245433665e-05,2.238426037050189e-05,0.0,0.0,0.0
37,Eukarya,Eukarya,Eukarya,1,1.0,0.26495909999357536,7.405261199174633e-05,2.1743371636315643e-05,0.0,0.0,0.0
38,2013,2013,1983,0,0.0,0.32409420001204126,9.095884976467682e-05,2.6707391148682285e-05,0.0,0.0,0.0
39,April 20 2018.,"April 20, 2018.","February 13, 2017",0,0.0,0.3304152000055183,9.694317786670209e-05,2.846451309774312e-05,0.0,0.0,0.0
40,1948,1948,in the 1980s,0,0.0,0.23933229999965988,6.693957607973858e-05,1.9654837833963308e-05,0.0,0.0,0.0
41,AD 544.,AD 544.,During the last Ice Age,0,0.0,0.3018826999759767,8.434172222304085e-05,2.4764466254706544e-05,0.0,0.0,0.0
42,$2.2 billion,$2.2 billion,$2.187 billion,0,0.5,0.23980110001866706,6.697968046329758e-05,1.966661330673213e-05,0.0,0.0,0.0
43,Woody Harrelson and Juliette Lewis.,Woody Harrelson and Juliette Lewis.,Woody Harrelson,0,0.5714285714285715,0.3168788000184577,9.352269321837327e-05,2.7460188376648673e-05,0.0,0.0,0.0
44,Colin Firth,Colin Firth,Simon Callow,0,0.0,0.24932339999941178,6.974974451519094e-05,2.047996114844538e-05,0.0,0.0,0.0
45,No one. He was not in the movie.,No one. He was not in the movie.,Hugo Weaving,0,0.0,0.3368299000139814,9.427404228748517e-05,2.768079993374163e-05,0.0,0.0,0.0
46,Apple.,Apple.,Walmart,0,0.0,0.35219239999423735,9.750113148711171e-05,2.862833976905279e-05,0.0,0.0,0.0
47,Massachusetts,Massachusetts,"in Middlesex County, Province of Massachusetts Bay",0,0.25,0.31339890000526793,8.710584856329678e-05,2.557607066202458e-05,0.0,0.0,0.0
48,Canada.,Canada.,United States,0,0.0,0.2908619999943767,8.248507397923003e-05,2.4219316101629013e-05,0.0,0.0,0.0
49,Walter Pauk,Walter Pauk,Walter Pauk,1,1.0,0.27209929999662563,7.714164600699283e-05,2.265037562691372e-05,0.0,0.0,0.0
50,No one.,No one.,Edgar,0,0.0,0.22370420000515878,6.255942892106136e-05,1.8368736440220632e-05,0.0,0.0,0.0
51,"""Gabbar Is Back"" is a remake of the Telugu film ""Gabbar Singh"".","""Gabbar Is Back"" is a remake of the Telugu film ""Gabbar Singh"".",Tagore,0,0.0,0.3814481000008527,0.00011178134156286619,3.282130347918358e-05,0.0,0.0,0.0
52,2006 in the US.,2006 in the US.,"August 2, 1990",0,0.0,0.3096888999862131,8.901548620086737e-05,2.6136779592170365e-05,0.0,0.0,0.0
53,Twickenham Stadium.,Twickenham Stadium.,Twickenham Stadium,1,1.0,0.2873177000146825,8.053384541254197e-05,2.3646395218330224e-05,0.0,0.0,0.0
54,Not listed directly.,Not listed directly.,on the bottom line of the report,0,0.0,0.24815150001086295,6.953119068868471e-05,2.041578924492369e-05,0.0,0.0,0.0
55,1980s.,1980s.,By the mid-1980s,0,0.0,0.3117422999930568,8.695334133989002e-05,2.553129140108338e-05,0.0,0.0,0.0
56,2020.,2020.,2017,0,0.0,0.2531240999815054,7.060430062944986e-05,2.0730876419043648e-05,0.0,0.0,0.0
57,London 1865.,"London, 1865.",in San Francisco,0,0.0,0.30905099998926744,8.61050479010554e-05,2.5282214980939212e-05,0.0,0.0,0.0
58,Season 8 Episode 10.,"Season 8, Episode 10.",Say Goodbye to Daisy Miller,0,0.0,0.2699920999875758,7.519863602309103e-05,2.2079867888742955e-05,0.0,0.0,0.0
59,Shakin' Stevens,Shakin' Stevens,Roxette,0,0.0,0.41201879997970536,0.00011513893924591087,3.380716329241758e-05,0.0,0.0,0.0
60,Ariana Grande and Nicki Minaj.,Ariana Grande and Nicki Minaj.,The Chainsmokers,0,0.0,0.30113150001852773,8.837552145217115e-05,2.5948872764973047e-05,0.0,0.0,0.0
61,Beneath the epidermis.,Beneath the epidermis.,adjacent to the epidermis,0,0.4,0.4345694999792613,0.00012245385411686753,3.595497291383849e-05,0.0,0.0,0.0
62,Mission: Impossible - Fallout,Mission: Impossible - Fallout,Mission: Impossible – Fallout,0,0.8571428571428571,0.2191027000080794,6.247672192130109e-05,1.83444519621402e-05,0.0,0.0,0.0
63,"A name meaning ""true image"" or ""faithful.""","A name meaning ""true image"" or ""faithful.""",she who brings victory,0,0.0,0.34227290001581423,0.00010119297718920595,2.971234168290178e-05,0.0,0.0,0.0
64,1982,1982,October 1973,0,0.0,0.2203876000130549,6.248759721096325e-05,1.8347645171109024e-05,0.0,0.0,0.0
65,In Philadelphia.,In Philadelphia.,Pittsburgh,0,0.0,0.24926010001217946,6.939994645176408e-05,2.0377253234623224e-05,0.0,0.0,0.0
66,Mahatma Gandhi,Mahatma Gandhi,Mahatma Gandhi,1,1.0,0.24245009999140166,6.788172560148587e-05,1.9931472332562923e-05,0.0,0.0,0.0
67,A structured framework of states and interactions.,A structured framework of states and interactions.,"the individual level, the domestic state as a unit, the international level of transnational and intergovernmental affairs, and the global level",0,0.18181818181818182,0.2806921000010334,7.846999574462225e-05,2.30404064608227e-05,0.0,0.0,0.0
68,Independence and sovereignty.,Independence and sovereignty.,the May Revolution of 1810,0,0.0,0.24648070000694133,6.879152619949355e-05,2.019860852108289e-05,0.0,0.0,0.0
69,Kanye West,Kanye West,American singer Selena Gomez,0,0.0,0.259300700010499,7.372765772682195e-05,2.1647958373271738e-05,0.0,0.0,0.0
70,They came in third.,They came in third.,They were the first group to win the competition,0,0.18181818181818182,0.27709930000128224,7.846151374769492e-05,2.3037915971879115e-05,0.0,0.0,0.0
71,Fortress and palace.,Fortress and palace.,the tsar's Moscow residence,0,0.0,0.3939970000064932,0.0001113656141803937,3.269923735979404e-05,0.0,0.0,0.0
72,1939.,1939.,14 June 1940,0,0.0,0.26999260002048686,7.436188518787401e-05,2.1834180614685034e-05,0.0,0.0,0.0
73,Started 1871 finished 1885.,"Started 1871, finished 1885.",between 1881 and 1885,0,0.25,0.33380759999272414,9.662209147357612e-05,2.837023552149935e-05,0.0,0.0,0.0
74,"The song ""I Can Feel at Home in This World Anymore"" was written by **Paul McCartney**.","The song ""I Can Feel at Home in This World Anymore"" was written by **Paul McCartney**.",Macon Blair,0,0.0,0.49953800000366755,0.00014413575743315834,4.2321226161479786e-05,0.0,0.0,0.0
75,After the live show.,After the live show.,on the Saturday night directly after the live show,0,0.6,0.26825960000860505,7.749425379287926e-05,2.2753908533102656e-05,0.0,0.0,0.0
76,Parliament.,Parliament.,the President of India,0,0.0,0.2844681999995373,7.996982169318687e-05,2.3480786240985822e-05,0.0,0.0,0.0
77,19 seasons.,19 seasons.,14,0,0.0,0.24550769999041222,6.885967572280438e-05,2.021861862433692e-05,0.0,0.0,0.0
78,Central Park New York City.,"Central Park, New York City.",Franklin Mountains State Park,0,0.22222222222222224,0.2996848000038881,8.444841584156464e-05,2.4795793697944393e-05,0.0,0.0,0.0
79,Madison Wisconsin.,"Madison, Wisconsin.","Madison, Wisconsin",1,1.0,0.28098789998330176,7.954574267253973e-05,2.3356267908666587e-05,0.0,0.0,0.0
80,Leia.,Leia.,Mara Jade,0,0.0,0.24249109998345375,6.785596514599805e-05,1.9923908532419658e-05,0.0,0.0,0.0
81,Jesse Bradford,Jesse Bradford,Will Friedle,0,0.0,0.2650207999977283,7.46781722615431e-05,2.1927049011917482e-05,0.0,0.0,0.0
82,2002,2002,"November 25, 2002",0,0.5,0.24564379997900687,6.889378293271007e-05,2.0228633203438325e-05,0.0,0.0,0.0
83,2004.,2004.,1982,0,0.0,0.29102390000480227,8.23891855138455e-05,2.419116127383274e-05,0.0,0.0,0.0
84,June to July.,June to July.,"Cannes, France",0,0.0,0.24579499999526888,6.889611457793046e-05,2.0229317822483994e-05,0.0,0.0,0.0
85,Around 1000 AD.,Around 1000 AD.,Around 1200,0,0.4,0.3188320000190288,8.958523524290029e-05,2.630406964213832e-05,0.0,0.0,0.0
86,Jamaica.,Jamaica.,the French island of Guadeloupe in the Lesser Antilles,0,0.0,0.26633479999145493,7.562957270685315e-05,2.2206399772153167e-05,0.0,0.0,0.0
87,Lungs.,Lungs.,lungs,1,1.0,0.24726860001101159,6.856708752905121e-05,2.0132708706211643e-05,0.0,0.0,0.0
88,April 10-11,April 10-11,3–4 April 2018,0,0.4,0.31579340001917444,8.920997558781067e-05,2.6193885680745593e-05,0.0,0.0,0.0
89,New York City.,New York City.,western North Carolina,0,0.0,0.23740990000078455,6.656745621931424e-05,1.9545575780933203e-05,0.0,0.0,0.0
90,"The song ""Tell Me Something Good"" was sung by The Isley Brothers.","The song ""Tell Me Something Good"" was sung by The Isley Brothers.",Rufus and Chaka Khan,0,0.0,0.3739654000091832,0.00010579442653882075,3.106342195655247e-05,0.0,0.0,0.0
91,The Beatles.,The Beatles.,Noel Harrison,0,0.0,0.21016829999280162,6.046975558773266e-05,1.7755165322835485e-05,0.0,0.0,0.0
92,1757,1757,1757,1,1.0,0.36473460000706837,0.00010205741262155073,2.9966157724706848e-05,0.0,0.0,0.0
93,Archie.,Archie.,Archie Andrews,0,0.6666666666666666,0.3800590999890119,0.00010699992004150465,3.141737967025123e-05,0.0,0.0,0.0
94,Intake manifold.,Intake manifold.,internal combustion engine's electronic control system,0,0.0,0.3269478000001982,9.004328424444073e-05,2.6438562260295356e-05,0.0,0.0,0.0
95,Munich Germany.,"Munich, Germany.","Munich, Bavaria",0,0.5,0.25221149998833425,7.042473773612873e-05,2.0678153056334866e-05,0.0,0.0,0.0
96,1990,1990,2017,0,0.0,0.22339860000647604,6.257548052579875e-05,1.8373449521876728e-05,0.0,0.0,0.0
97,Exodus 20:12.,Exodus 20:12.,Exodus 20:1–21,0,0.5,0.2771859999920707,7.723637443301316e-05,2.267818984326726e-05,0.0,0.0,0.0
98,Henry Purcell,Henry Purcell,Henry Purcell,1,1.0,0.3887519000272732,0.0001103844488691115,3.241114702204541e-05,0.0,0.0,0.0
99,Sinoatrial node.,Sinoatrial node.,the sinoatrial node,1,1.0,0.315563000011025,8.823894511248178e-05,2.5908771139510808e-05,0.0,0.0,0.0
100,2023.,2023.,2017,0,0.0,0.26243470000918023,7.193671348966298e-05,2.1122100269403568e-05,0.0,0.0,0.0
101,Because it taxed them without representation.,Because it taxed them without representation.,"because they believed that it violated their rights as Englishmen to ""No taxation without representation"", that is, to be taxed only by their own elected representatives and not by a British parliament in which they were not represented",0,0.23255813953488372,0.27488219999941066,7.701790084892807e-05,2.261404150057262e-05,0.0,0.0,0.0
102,George Washington.,George Washington.,Woodrow Wilson,0,0.0,0.2441691999847535,6.829105234634601e-05,2.0051659092959292e-05,0.0,0.0,0.0
103,Front ribs of the cow.,Front ribs of the cow.,"the primal rib, one of the nine primal cuts of beef",0,0.15384615384615383,0.2948569000000134,8.222719345378744e-05,2.4143597069556362e-05,0.0,0.0,0.0
104,IBM,IBM,Helmut Gröttrup,0,0.0,0.24337530002230778,6.804756501651812e-05,1.9980166199477397e-05,0.0,0.0,0.0
105,James Blundell,James Blundell,Dr. Jesse Bennett,0,0.0,0.27839039999525994,7.726221602780114e-05,2.2685777467579727e-05,0.0,0.0,0.0
106,Caroline Wozniacki,Caroline Wozniacki,P. V. Sindhu,0,0.0,0.2761010999965947,7.74062364554941e-05,2.2728064830554824e-05,0.0,0.0,0.0
107,Vice President.,Vice President.,Vice President of the United States,0,0.5714285714285715,0.3961907000048086,0.00011247655502572915,3.302543246644043e-05,0.0,0.0,0.0
108,April 2024.,April 2024.,"September 19, 2017",0,0.0,0.30660330000682734,8.59009121584905e-05,2.522227652373343e-05,0.0,0.0,0.0
109,social economic environmental factors.,"social, economic, environmental factors.",biological agents,0,0.0,0.28924929999629967,8.101743148321744e-05,2.3788386045797787e-05,0.0,0.0,0.0
110,September 2023.,September 2023.,"September 29, 2017",0,0.4,0.43138409999664873,0.00012046538147508761,3.537111640323106e-05,0.0,0.0,0.0
111,Tom Brady,Tom Brady,Peyton Manning,0,0.0,0.23640149997663684,6.643654410214822e-05,1.9507137287831095e-05,0.0,0.0,0.0
112,1902,1902,1924,0,0.0,0.3189987000077963,8.743280635690193e-05,2.5672072202342145e-05,0.0,0.0,0.0
113,James W. Marshall.,James W. Marshall.,James W. Marshall,1,1.0,0.23869420000119135,6.569189270100324e-05,1.9288492303959316e-05,0.0,0.0,0.0
114,Rashidun Caliphate.,Rashidun Caliphate.,the Rashidun,0,0.6666666666666666,0.3124878999951761,8.64953454342129e-05,2.5396814372965065e-05,0.0,0.0,0.0
115,From the Greek god Boötes.,From the Greek god Boötes.,"from the Greek Βοώτης, Boōtēs, meaning ""herdsman"" or ""plowman""",0,0.3333333333333333,0.28201620001345873,7.75454684994332e-05,2.2768946225466175e-05,0.0,0.0,0.0
116,Columbia Pictures.,Columbia Pictures.,Universal Pictures,0,0.5,0.25098320000688545,7.034482684315379e-05,2.065468957277891e-05,0.0,0.0,0.0
117,2024 Paris 2026 Milan-Cortina.,"2024 Paris, 2026 Milan-Cortina.",Tokyo,0,0.0,0.35816950001753867,0.00010452499207939237,3.069068986139865e-05,0.0,0.0,0.0
118,Los Angeles CA.,"Los Angeles, CA.",UCLA,0,0.0,0.35326329999952577,0.0001000611046555022,2.9380000601563528e-05,0.0,0.0,0.0
119,New York City.,New York City.,at the group's final British performance on 14 July 2012 at the National Bowl in Milton Keynes,0,0.0,0.25749289998202585,7.304481756621739e-05,2.1447462442326304e-05,0.0,0.0,0.0
120,1960s.,1960s.,1996,0,0.0,0.28892500000074506,8.058652044858428e-05,2.3661861693499956e-05,0.0,0.0,0.0
121,"It means ""Tippecanoe and Tyler too "" a political slogan from 1840.","It means ""Tippecanoe and Tyler too,"" a political slogan from 1840.","Whig candidates William Henry Harrison (the ""hero of Tippecanoe"") and John Tyler",0,0.28571428571428564,0.4026239999802783,0.0001173035301828704,3.44427317607946e-05,0.0,0.0,0.0
122,Northern Europe.,Northern Europe.,a low concentration in pigmentation,0,0.0,0.22317320000729524,6.265516973406962e-05,1.8396847914239043e-05,0.0,0.0,0.0
123,November 11 1918.,"November 11, 1918.",1918,0,0.5,0.4374101999856066,0.00012525908763698595,3.677864723556779e-05,0.0,0.0,0.0
124,Fertility motherhood and good luck.,"Fertility, motherhood, and good luck.",bringing babies to new parents,0,0.0,0.4206871999776922,0.00011879458251964121,3.4880535427884936e-05,0.0,0.0,0.0
125,A poor couple sells possessions to buy each other gifts showing love.,"A poor couple sells possessions to buy each other gifts, showing love.",a young husband and wife and how they deal with the challenge of buying secret Christmas gifts for each other with very little money,0,0.1818181818181818,0.4674702000047546,0.0001357681444143633,3.9864322688624414e-05,0.0,0.0,0.0
126,It does not air on Hulu.,It does not air on Hulu.,30 days after the original air date,0,0.16666666666666666,0.31564119999529794,9.073134863969175e-05,2.664059213410085e-05,0.0,0.0,0.0
127,Multiverse.,Multiverse.,Washington,0,0.0,0.235986400017282,6.60754784193426e-05,1.9401120968957188e-05,0.0,0.0,0.0
128,India,India,China,0,0.0,0.27825669999583624,7.743538336204017e-05,2.2736622962456384e-05,0.0,0.0,0.0
129,Michigan,Michigan,Michigan,1,1.0,0.2913540000154171,8.161328094767531e-05,2.396333971720172e-05,0.0,0.0,0.0
130,From a failed pass in the 1920s.,From a failed pass in the 1920s.,"a December 28, 1975 NFL playoff game between the Dallas Cowboys and the Minnesota Vikings, when Cowboys quarterback Roger Staubach (a Roman Catholic and fan of The Godfather Part II (1974), whose character Fredo had popularized the phrase) said about his game-winning touchdown pass to wide receiver Drew Pearson, ""I closed my eyes and said a Hail Mary.""",0,0.03571428571428571,0.4053235000174027,0.00011717686513505044,3.440554029470036e-05,0.0,0.0,0.0
131,Lydian kings 6th century BCE.,"Lydian kings, 6th century BCE.",the Indo-Greek kings,0,0.28571428571428575,0.45201320000342093,0.00012722098854908048,3.7354701739223284e-05,0.0,0.0,0.0
132,July 2024.,July 2024.,2018,0,0.0,0.2635442999890074,7.366795063892226e-05,2.1630427142885567e-05,0.0,0.0,0.0
133,2019,2019,1975,0,0.0,0.34086119997664355,9.618958349152163e-05,2.824324227255721e-05,0.0,0.0,0.0
134,Kathryn Hahn Katy Mixon and Liza Lapira.,"Kathryn Hahn, Katy Mixon, and Liza Lapira.",Alexandra Krosney,0,0.0,0.38676190000842325,0.00011253468691624545,3.304250118644126e-05,0.0,0.0,0.0
135,Loo winds.,Loo winds.,the Northeast Monsoon or Retreating Monsoon,0,0.0,0.22677629999816418,6.622930100703183e-05,1.944628644793529e-05,0.0,0.0,0.0
136,Missionaries and Spanish settlers.,Missionaries and Spanish settlers.,Spanish,0,0.4,0.4411240000044927,0.00012346188126152716,3.625095043895633e-05,0.0,0.0,0.0
137,Money used to exchange goods and services.,Money used to exchange goods and services.,a tradeable entity used to avoid the inconveniences of a pure barter system,0,0.23529411764705882,0.2862308000039775,7.88358274766223e-05,2.3147822189873832e-05,0.0,0.0,0.0
138,1956,1956,1956,1,1.0,0.24645629999577068,6.909571736705575e-05,2.0287925311225646e-05,0.0,0.0,0.0
139,Sade,Sade,Justin Bieber,0,0.0,0.27616460001445375,7.723884465223183e-05,2.2678915150492088e-05,0.0,0.0,0.0
140,ABA,ABA,National Legal Aid & Defender Association,0,0.0,0.2732382999965921,7.645125797789832e-05,2.2447663486367773e-05,0.0,0.0,0.0
141,Record.,Record.,"a single, implicitly structured data item in a table",0,0.0,0.2373037000070326,6.581971367932025e-05,1.932602317504829e-05,0.0,0.0,0.0
142,Cliff Huxtable.,Cliff Huxtable.,Earle Hyman,0,0.0,0.31015340000158176,8.597229133139504e-05,2.5243234918607186e-05,0.0,0.0,0.0
143,During embryonic development primary ossification centers appear in the mesenchymal condensations of the skeleton typically around the 5th to 6th week of gestation.,"During embryonic development, primary ossification centers appear in the mesenchymal condensations of the skeleton, typically around the 5th to 6th week of gestation.",prenatal development,0,0.09090909090909091,0.520081199996639,0.0001596636274949887,4.6880528533048096e-05,0.0,0.0,0.0
144,1967,1967,1967,1,1.0,0.3880435999890324,0.000108279988796269,3.17932342134776e-05,0.0,0.0,0.0
145,When the fire department cannot reach the building.,When the fire department cannot reach the building.,when the local municipal water system cannot provide sufficient pressure to meet the hydraulic design requirements of the fire sprinkler system,0,0.25,0.29191489997901954,8.161530026881418e-05,2.3963932631466247e-05,0.0,0.0,0.0
146,Chief Justice of the United States.,Chief Justice of the United States.,John Roberts,0,0.0,0.24592289997963235,6.887814064872658e-05,2.0224040306783557e-05,0.0,0.0,0.0
147,A whistleblower suit under the False Claims Act allows individuals to sue for false claims against the government and share in recovered funds.,A whistleblower suit under the False Claims Act allows individuals to sue for false claims against the government and share in recovered funds.,qui tam,0,0.0,0.4107077000080608,0.000125920795526719,3.69729382966684e-05,0.0,0.0,0.0
148,Britain,Britain,British,0,0.0,0.1380146000010427,3.839408157265838e-05,1.1273292890227496e-05,0.0,0.0,0.0
149,acid rain,acid rain,Acid rain,1,1.0,0.36765959998592734,0.00010300464927323728,3.0244285909401477e-05,0.0,0.0,0.0
150,Kevin McHale,Kevin McHale,Keegan-Michael Key,0,0.0,0.2719982000126038,7.636388040308704e-05,2.2422007631284452e-05,0.0,0.0,0.0
151,Texas,Texas,Western New York and Central New York,0,0.0,0.2524326000129804,7.059903394690032e-05,2.0729330012605236e-05,0.0,0.0,0.0
152,Otto Loewi,Otto Loewi,Charles Sherrington,0,0.0,0.28023489998304285,7.835066798063319e-05,2.3005369372337097e-05,0.0,0.0,0.0
153,Serena Williams,Serena Williams,Ric Flair,0,0.0,0.27698269998654723,7.69732338891508e-05,2.260092636148192e-05,0.0,0.0,0.0
154,William the Conqueror.,William the Conqueror.,"William, the Duke of Normandy",0,0.3333333333333333,0.2541767999937292,7.053900239857237e-05,2.0711703513956633e-05,0.0,0.0,0.0
155,Kings Island.,Kings Island.,"Puente Hills Mall, located in the City of Industry, California, United States",0,0.0,0.27184920001309365,7.529457732678356e-05,2.2108038230954405e-05,0.0,0.0,0.0
156,Celine Dion,Celine Dion,Josh Groban,0,0.0,0.22593280000728555,6.281524404026362e-05,1.8443849026494064e-05,0.0,0.0,0.0
