qid,raw_pred,pred,gold,em,energy_kWh,time (s)
10,"The New York Legislature passed the New York State Drinking Age Act in 1984, which reduced by up to 10% the federal highway funding of any state which did not have a minimum purchasing age of 21, the New York Legislature raised the drinking age from 19 to 21, effective December 1, 1985. (The drinking age had",false,true,0,0.0011770635950931051,1.3600189685821533
11,"The series is based on a true story
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###",true,false,0,0.0012829546686279646,1.324509620666504
12,"No, this is not a problem.
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###",false,true,0,0.0013899951896163367,1.3400352001190186
13,The liver is a part of the excretory system. The liver is a part of the excretory system. The liver is a part of the excretory system. The liver is a part of the excretory system. The liver is a part of the excretory system. The liver is a,other,true,0,0.0014955732810561792,1.3190186023712158
14,"This is a question that I have been asked about for years. I have been asked about the film for years, and I have been asked about the film for years. I have been asked about the film for years, and I have been asked about the film for years. I have been asked about the film for years",other,true,0,0.0016020788351166699,1.3331351280212402
15,"The Vampire Diaries, an American supernatural drama, was renewed for an eighth season by The CW on March 11, 2016. On July 23, 2016, the CW announced that the upcoming season would be the series' last and would consist of 16 episodes. The season premiered on October 21, 2016 and concluded on March 10",false,true,0,0.0017071430440338507,1.3145091533660889
16,"The Strangers is a 2008 American slasher film written and directed by Bryan Bertino. Kristen (Liv Tyler) and James (Scott Speedman) are expecting a relaxing weekend at a family vacation home, but their stay turns out to be anything but peaceful as three masked torturers leave Kristen and James struggling for survival",false,true,0,0.0018136720285280262,1.3290181159973145
17,"The Russell Group is a non-profit organization that provides educational and educational services to students in the UK.
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###",false,true,0,0.0019183552237856832,1.311509609222412
18,"The Resident is an American medical drama television series aired by Fox Broadcasting Company that premiered on January 21, 2018, as a mid-season replacement entry in the 2017--18 television season. The fictional series focuses on the lives and duties of staff members at Chastain Park Memorial Hospital, while delving into the bureaucratic practices",other,true,0,0.00202625734552325,1.3475086688995361
19,"The answer is:
Magnesium citrate is a magnesium preparation in salt form with citric acid in a 1:1 ratio (1 magnesium atom per citrate molecule). The name ``magnesium citrate'' is ambiguous and sometimes may refer to other salts such as trimagnesium citrate which has a magnesium:",other,true,0,0.0021310628944382834,1.314176321029663
20,"Answer only true or false using the passage.
### Passage:
Street Addressing will have the same street address as the P.O. Box address, plus a ``unit number'' that matches the P.O. Box address, plus a ``unit number'' that matches the P.O. Box address,",true,false,0,0.002239141396348094,1.3500261306762695
21,"The spark plug is a spark plug that is connected to the combustion chamber of a spark-ignition engine to ignite the compressed fuel/air mixture by an electric spark, while containing combustion pressure within the engine. The spark plug's metal shell is screwed into the engine's cylinder head and thus electrically grounded. The central",other,true,0,0.002346723546678814,1.3455092906951904
22,"The answer is yes.
### Question:
The answer is yes.
### Question:
The answer is yes.
### Question:
The answer is yes.
### Question:
The answer is yes.
### Question:
The answer is yes.
### Question:
The answer is yes",true,true,1,0.0024506881689967315,1.3015124797821045
23,"The U.S. Citizenship and Immigration Services (USCIS) has been conducting a review of the U.S. citizenship and immigration status of the U.S. citizen and the U.S. citizen. The U.S. citizen and U.S. citizen are not eligible for citizenship.
###",false,true,0,0.0025558020518297664,1.3130154609680176
24,The Fire Tablet is a tablet computer designed to be used for the use of a tablet computer. The tablet is designed to be used for the use of a tablet computer. The tablet is designed to be used for the use of a tablet computer. The tablet is designed to be used for the use of a tablet computer.,other,true,0,0.002663552916551517,1.350508689880371
25,"The Wisconsin Department of Public Safety is investigating the drinking age of Wisconsin's drinking age.
### Question:
Can you drink alcohol with your parents in wisconsin
### Question:
Can you drink alcohol with your parents in wisconsin
### Question:
Can you drink alcohol with your parents in wisconsin
###",other,true,0,0.0027701502838130597,1.3335175514221191
26,"The pterylae are not uniformly distributed on the skin of the bird except in some groups such as the penguins, ratites and screamers. In most birds the feathers grow from specific tracts of skin called pterylae; between the pterylae there are regions which are free of feathers called ap",false,true,0,0.002876867198208502,1.3350181579589844
27,"Answer only true or false using the passage.
### The following questions are asked:
What is the difference between a car and a motorcycle?
Answer only true or false using the passage.
### The following questions are asked:
What is the difference between a car and a motorcycle?
Answer only true or",true,false,0,0.0029855717496213756,1.357511281967163
28,"The Enchanted Forest is a park located in Turner in the U.S. state of Oregon, next to Interstate 5 just south of Salem. Creator Roger Tofte opened the park in 1971 after seven years of construction. Today, the Tofte family still owns and operates the 20-acre (8.1",other,true,0,0.0030898698691417645,1.3060455322265625
29,"The Indianapolis Motor Speedway Museum is located in the Indianapolis Motor Speedway Museum, which opened in 1956, and houses the Auto Racing Hall of Fame. The museum moved into its current building located in the infield in 1976. Also on the grounds is the Brickyard Crossing Golf Resort, which originally opened as the Speedway Golf Course in 1929",other,true,0,0.0031961543032450897,1.3290162086486816
30,"I'm not sure if the answer is true or false.
### Question:
I'm not sure if the answer is true or false.
### Question:
I'm not sure if the answer is true or false.
### Question:
I'm not sure if the answer is true or false.",true,true,1,0.0033030898100137947,1.338592290878296
31,"The answer is yes.
### Question:
Do they still make benson & hedges cigarettes
### Question:
Do they still make benson & hedges cigarettes
### Question:
Do they still make benson & hedges cigarettes
### Question:
Do they still make benson & hedges",true,true,1,0.0034080532047906773,1.3125078678131104
32,"The Commonwealth government has its own tax laws and Puerto Ricans are also required to pay some US federal taxes, although most residents do not have to pay the federal personal income tax. In 2009, Puerto Rico paid $3.742 billion into the US Treasury. Residents of Puerto Rico pay into Social Security, and are",false,false,1,0.0035131990310970527,1.3140285015106201
33,The,other,true,0,0.0036182109466764705,1.3165161609649658
34,"The film is a sequel to the original Indiana Jones film, which was released in 1984. The film was released in 1984 and was released in 1985. The film was released in 1985 and was released in 1986. The film was released in 1986 and was released in 1987. The film was released in 1987 and was released in",other,true,0,0.0037240279082538003,1.3235125541687012
35,"The Avengers: Infinity War is a sequel to the Avengers, which is based on the Marvel Comics superhero team the Avengers, produced by Walt Disney Studios Motion Pictures. It is intended to be the direct sequel to 2018's Avengers: Infinity War, as well as the sequel to 2012's Marvel's Avengers: Age of Ultron and",other,true,0,0.003830449026819916,1.332021951675415
36,"The Highlander is a compact, compact, and compact SUV with a compact, compact, and compact, compact, and compact, and compact, and compact, and compact, and compact, and compact, and compact, and compact, and compact, and compact, and compact, and compact, and compact, and compact,",other,false,0,0.003936071873704561,1.320509433746338
37,"The copyright holder is entitled to a copy of the original song, but the copyright holder",other,true,0,0.004043702575504791,1.3465089797973633
38,The C−H bond is a bond between hydrogen and hydrogen atoms that can be found in many organic compounds. This bond is a covalent bond meaning that carbon shares its outer valence electrons with up to four hydrogens. This bond is a covalent bond meaning that carbon shares its outer valence electrons with,other,false,0,0.004153716017855266,1.378021240234375
39,"The film is a sequel to the original film, but it is not a sequel to the original film.
### Question",false,false,1,0.004257593461446927,1.2970314025878906
40,"The following questions are asked:
What is columbus day a national holiday?
What is columbus day a national holiday?
What is columbus day a national holiday?
What is columbus day a national holiday?
What is columbus day a national holiday?
What is",other,true,0,0.004369426373047426,1.400505781173706
41,"New Balance shoes are available in the United States, Canada, and the United Kingdom.
### Question:
Are new balance and nike the same company
### Question:
Are new balance and nike the same company
### Question:
Are new balance and nike the same company
### Question:",other,false,0,0.004475225417243819,1.3230221271514893
42,"The following question is asked:
What is the route of the route of the route of the route of the route of the route of the route of the route of the route of the route of the route of the route of the route of the route of the route of the route of the route of the route of the",other,true,0,0.0045815043404149255,1.3274071216583252
43,,other,false,0,0.004684237610957529,1.2865102291107178
44,"Answer only true or false using the passage.
### Passage:
English orthography typically represents vowel sounds with the five conventional vowel letters ⟨a, e, i, o, u⟩, which may also be a consonant depending on context. However, outside of abbreviations, there are a",true,true,1,0.004788780159016299,1.3080253601074219
45,"The answer is:
The answer is:
The answer is:
The answer is:
The answer is:
The answer is:
The answer is:
The answer is:
The answer is:
The answer is:
The answer is:
The answer is:
The answer is:",other,true,0,0.004894042087145172,1.3175091743469238
46,"The turkey vulture is a very common species in the Caribbean, and is a very common species in the Caribbean.
### Question:
Is there a common species of turkey vulture
### Question:
Is there a common species of turkey vulture
### Question:
Is there a common species of turkey v",other,true,0,0.005001012462827053,1.337510108947754
47,"No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no,",false,true,0,0.005109711291574666,1.3590202331542969
48,"The MetLife Stadium Company is a joint venture of the Giants and Jets, who jointly built the stadium using private funds on land owned by the New Jersey Sports and Exposition Authority. The stadium opened as New Meadowlands Stadium in 2010. In 2011, MetLife, an insurance company based in New York City, acquired the",other,true,0,0.005218445756237745,1.3600339889526367
49,The USWNT is a team that has been playing in the World Cup since the beginning of the year. The USWNT has been playing in the World Cup since the beginning of the year. The USWNT has been playing in the World Cup since the beginning of the year. The USWNT has been,other,true,0,0.005325025830551514,1.3330161571502686
50,"The CAF is a national association of African Football (AFFL) players, coaches, coaches, coaches, coaches, coaches, coaches, coaches, coaches, coaches, coaches, coaches, coaches, coaches, coaches, coaches, coaches, coaches, coaches, coaches, coaches, coaches, coaches, coaches, coaches,",other,true,0,0.0054287136967040945,1.296884298324585
51,"The following questions are asked:
What is the use of a hammer?
Can a hammer be used as a weapon
### Answer:
The following questions are asked:
What is the use of a hammer?
Can a hammer be used as a weapon
### Answer:
The following questions are asked:",other,true,0,0.00553539140802024,1.335514783859253
52,"The following question is asked:
What is the current law?
The current law is:
The current law is:
The current law is:
The current law is:
The current law is:
The current law is:
The current law is:
The current law is:
The current",other,false,0,0.0056449585961736585,1.3704960346221924
53,"The ASU is not a uniform-fitting military uniform.
### Question:
The ASU is not a uniform-fitting military uniform.
### Question:
The ASU is not a uniform-fitting military uniform.
### Question:
The ASU is not a uniform-fitting military uniform.",false,true,0,0.005753486039235234,1.3580172061920166
54,"The Little League World Series is a national sport, and the league is a national sport. The league is a national sport. The league is a national sport. The league is a national sport. The league is a national sport. The league is a national sport. The league is a national sport. The league is a",other,false,0,0.0058588005791170746,1.3155097961425781
55,Damon and Elena are in a relationship. Damon and Elena are in a relationship. Damon and Elena are in a relationship. Damon and Elena are in a relationship. Damon and Elena are in a relationship. Damon and Elena are in a relationship. Damon and Elena are in a relationship. Damon and Elena are in a relationship,other,false,0,0.005984554267680226,1.5756421089172363
56,"No.
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###",false,true,0,0.006091226791862387,1.3345084190368652
57,"The novel was followed by a sequel called The Queen's Fool, set during the reign of Henry's daughter, Queen Mary. The Queen's Fool was followed by The Virgin's Lover, set during the reign of Henry's daughter, Queen Mary. The Queen's Fool was followed by The Virgin's Lover, set during the",false,true,0,0.006194372198215831,1.2895073890686035
58,"The film is a musical adaptation of the popular song ""The Five Heartbeats"" by the band The Five Heartbeats. The film is based on the popular song ""The Five Heartbeats"" by the band The Five Heartbeats.
### Question:
The film is a musical adaptation of the popular",other,false,0,0.00629970992466319,1.317026138305664
59,The Himalayan range is a part of the Himalayas. The Himalayas are the most important part of the Himalayas. The Himalayas are the most important part of the Himalayas. The Himalayas are the most important part of the Himalayas. The Himalayas are the,other,true,0,0.006405673996028658,1.3245060443878174
60,"The EMT-I/85 is a level of EMT-I training formulated by the National Registry of Emergency Medical Technicians in 1985. This training level includes more invasive procedures than are covered at the EMT-Basic level, including IV therapy, the use of advanced airway devices, and provides for advanced assessment",other,false,0,0.0065124944400655705,1.3385062217712402
61,"The All England Club has been contacted by the All England Club to confirm that the roof is not retractable.
### Question:
The All England Club has been contacted by the All England Club to confirm that the roof is not retractable.
### Question:
The All England Club has been contacted by the All",false,false,1,0.006616618099203018,1.3000264167785645
62,"The following is the list of teams to overcome 3--1 series deficits by winning three straight games to win a best-of-seven playoff series. In the history of major North American pro sports, teams that were down 3--1 in the series came back and won the series 52 times, more than half of them",false,false,1,0.00672166626322303,1.3145091533660889
63,"Answer only true or false using the passage.
### Passage:
Radio waves are a type of electromagnetic radiation with wavelengths in the electromagnetic spectrum longer than infrared light. Radio waves have frequencies as high as 300 gigahertz (GHz) to as low as 30 hertz (Hz). At 300 GHz, the corresponding",true,true,1,0.006827202598552595,1.320512294769287
64,"The NHL has a long history of being a very good hockey team.
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###",other,true,0,0.006930344555190371,1.2910268306732178
65,"Answer only true or false using the passage.
### Passage:
An acute triangle is a triangle with all three angles acute (less than 90°). An obtuse triangle is one with one obtuse angle (greater than 90°) and two acute angles. Since a triangle's angles must sum to",true,true,1,0.007035414637498099,1.3125152587890625
66,"The University of Mary Hardin is a Christian co-educational institution of higher learning located in Belton, Texas, United States. UMHB is a Christian co-educational institution of higher learning located in Belton, Texas, United States. UMHB is a Christian co-educational institution of higher learning located",other,true,0,0.007140198575774618,1.3121416568756104
67,"The Supreme Court has ruled that the death penalty is unconstitutional.
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###",other,false,0,0.007243367921014778,1.28950834274292
68,"India has never participated in the FIFA World Cup, although the team did qualify by default for the 1950 World Cup after all the other nations in their qualification group withdrew. However, India withdrew prior to the beginning of the tournament. The team has also appeared three times in the Asia's top football competition, the AFC Asian Cup",other,false,0,0.007349546875672864,1.3290212154388428
69,"Tyrannosaurus rex is a genus of coelurosaurian theropod dinosaur. The species Tyrannosaurus rex (rex meaning ``king'' in Latin), often colloquially called simply T. rex or T-Rex, is one of the most well-represented of the large therop",false,true,0,0.007456613739811274,1.3385095596313477
70,"The new locks are being used to improve the quality of the ship and to improve the quality of the ship.
### Question:
The new locks are being used to improve the quality of the ship and to improve the quality of the ship.
### Question:
The new locks are being used to improve the quality",other,true,0,0.007563304410398464,1.33551025390625
71,"Answer only true or false using the passage.
### Passage:
A possession and acquisition licence is a licence that allows individuals in Canada to possess and acquire firearms as well as ammunition. Licences are typically valid for five years and must be renewed prior to expiry to maintain all classes. If an individual possessing a PAL",true,true,1,0.007669694265875377,1.3310229778289795
72,"The answer is yes.
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###",true,false,0,0.00777616571541495,1.3335075378417969
73,The film received a lot of positive,other,true,0,0.007881726683717684,1.3185107707977295
74,"The answer is yes.
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###",true,true,1,0.007987793083653091,1.3260207176208496
75,"The male will be neutered if he is not neutered.
### Question:
Do female ferrets die if they don't mate
### Response",false,true,0,0.00809555632627709,1.3475134372711182
76,"The Xbox One console has received updates from Microsoft since its launch in 2013 that enable it to play select games from its two predecessor consoles, Xbox and Xbox 360. On June 15, 2015, backward compatibility with supported Xbox 360 games became available to eligible Xbox Preview program users with a beta update to the Xbox One system software.",other,false,0,0.008200734240909672,1.3160972595214844
77,"The right brachiocephalic artery is the right artery. The left common carotid, and the left subclavian artery, come directly off the aortic arch. However, there are two brachiocephalic veins.
### Question:
The right brachiocephalic artery is",other,false,0,0.008305193977848431,1.3060290813446045
78,"The Sole Survivor receives a cash prize of $1,000,000 prior to taxes and sometimes also receives a car provided by the show's sponsor. Every player receives a prize for participating on Survivor depending on how long he or she lasts in the game. In most seasons, the runner-up receives $100,000",other,true,0,0.008413197632770425,1.3505067825317383
79,"The film is based on the book Love Finds a Home by Janette Oke.
### Question:
Is there a sequel",other,false,0,0.008518826309491774,1.3230938911437988
80,I would like to thank the writers for their work and the writers for their work and the writers for their work and the writers for their work and the writers for their work and the writers for their work and the writers for their work and the writers for their work and the writers for their work and the writers for their work,other,false,0,0.00862256391219923,1.297027587890625
81,"The United States is the world's largest nuclear power producer.
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###",other,true,0,0.008728357543336937,1.3245136737823486
82,"The tiebreak is not played in the final set of a match and an advantage set is used instead. Therefore, the deciding set must be played until one player or team has won two more games than the opponent. This is true in three of the four major tennis championships, all except the US Open where a tiebreak",true,false,0,0.008837789342546764,1.3665125370025635
83,"The WTC was a complex of seven buildings in Lower Manhattan, New York City, United States. It featured the landmark Twin Towers, which opened on April 4, 1973 and were destroyed in 2001 during the September 11 attacks. At the time of their completion, the Twin Towers -- the original 1 World Trade Center, at 1",other,true,0,0.008945452583707044,1.3496558666229248
84,"Sanders played football primarily at cornerback, but also as a kick returner, punt returner, and occasionally wide receiver. He played in the National Football League (NFL) for the Atlanta Falcons, the San Francisco 49ers, the Dallas Cowboys, the Washington Redskins and the Baltimore Ravens, winning the Super Bowl with both the",other,false,0,0.009052663327154516,1.3415160179138184
85,The German Shepherd is a breed of medium to large-sized working dog that originated in Germany. The breed is known as the Alsatian in Britain and Ireland. The breed is known as the Alsatian in Britain and Ireland. The breed is known as the Alsatian in Britain and Ireland. The breed is,false,true,0,0.00916107918966132,1.3565075397491455
86,"The answer is yes.
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###",true,true,1,0.009265970753097031,1.3120181560516357
87,"The answer to this question is:
The answer to this question is:
The answer to this question is:
The answer to this question is:
The answer to this question is:
The answer to this question is:
The answer to this question is:
The answer to this question is:",other,true,0,0.009371036992237444,1.3155128955841064
88,"No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no,",false,true,0,0.009475597749992732,1.3055133819580078
89,The J-Gate automatic transmission is a four-speed manual transmission with a four-speed manual transmission. The J-Gate automatic transmission is a four-speed manual transmission with a four-speed manual transmission. The J-Gate automatic transmission is a four-speed manual transmission with a four-speed manual transmission. The,other,true,0,0.009581914252847608,1.331587791442871
90,"The answer is:
The answer is:
The answer is:
The answer is:
The answer is:
The answer is:
The answer is:
The answer is:
The answer is:
The answer is:
The answer is:
The answer is:
The answer is:",other,true,0,0.009688631049305443,1.3345141410827637
91,"The series was renewed for a third season by Disney Channel on August 31, 2017. On June 1, 2018, it was announced that Karan Brar, Skai Jackson, and Miranda May would be returning for the third season and that Raphael Alejandro, Will Buie Jr., and Mallory Mahoney would be",false,true,0,0.00979557522815832,1.3345108032226562
92,"The White House is the official residence and workplace of the President of the United States. It is located at 1600 Pennsylvania Avenue NW in Washington, D.C. and has been the residence of every U.S. President since John Adams in 1800. The term is often used as a metonym for the president and his",other,true,0,0.009899925136804722,1.306016206741333
93,The dorsal root ganglion is a ganglion that is located in the dorsal root ganglia. The dorsal root ganglion is a ganglion that is located in the dorsal root ganglia. The dorsal root ganglion is a ganglion that is located in the dorsal root ganglia. The,other,true,0,0.010004596288887621,1.3115103244781494
94,"The video is a short video of the video.
### Question:
Is the video a video of the video?
Answer:
The video is a short video of the video.
### Question:
Is the video a video of the video?
Answer:
The video is a short video of the",other,true,0,0.010108740749902024,1.3030223846435547
95,Answer only true or false using the passage,true,false,0,0.01021218813932317,1.295220136642456
96,,other,true,0,0.010317599235357392,1.3160960674285889
97,"Salt Lake City is the largest city in the United States, with a population of 1,943,912 as of 2014. The city is the largest city in the United States, with a population of 1,943,912 as of 2014. The city is the largest city in the United States,",other,true,0,0.010423637977864494,1.329075574874878
98,"``Chasing Cars'' is a song by Northern Irish alternative rock band Snow Patrol. It was released as the second single from their fourth studio album, Eyes Open (2006). It was recorded in 2005 and released on 6 June 2006 in the United States and 24 July 2006 in the United Kingdom. The song gained significant popularity",other,false,0,0.010529446170136644,1.3240211009979248
99,"Answer only true or false using the passage.
### Passage:
On Isla Sorna, a small island off the Pacific coast of Costa Rica, a young girl named Cathy Bowman wanders around during a family vacation, and survives an attack by a swarm of Compsognathus. Her parents file a",true,false,0,0.010640394860294609,1.3881778717041016
100,"Answer only true or false using the passage.
### Passage:
The result of breathing increased partial pressures of oxygen is hyperoxia, an excess of oxygen in body tissues. The body is affected in different ways depending on the type of exposure. Central nervous system toxicity is caused by short exposure to high partial pressures of",true,true,1,0.01074892416262707,1.3565104007720947
101,"The island is dominated by a maritime climate with quite narrow temperature differences between seasons. Politically, Great Britain is part of the United Kingdom of Great Britain and Northern Ireland, and constitutes most of its territory. Most of England, Scotland, and Wales are on the island. The term ``Great Britain'' is often used to",false,false,1,0.010855245001768658,1.3295419216156006
102,"The storm was a Category 4 hurricane, and the storm was a Category 4 hurricane. The storm was a Category 4 hurricane. The storm was a Category 4 hurricane. The storm was a Category 4 hurricane. The storm was a Category 4 hurricane. The storm was a Category 4 hurricane. The storm was a Category 4 hurricane",other,true,0,0.010965020424502708,1.3743181228637695
103,The Catholic Church is not a religious organization. It is a church that is not a religious organization. It is a church that is not a religious organization. It is a church that is not a religious organization. It is a church that is not a religious organization. It is a church that is not a religious organization.,false,false,1,0.011070758964914057,1.3235092163085938
104,The draft was drafted in the United States of America in the early 1940s. The draft was drafted in the United States of America in the early 1940s. The draft was drafted in the United States of America in the early 1940s. The draft was drafted in the United States of America in the early 1940s.,other,true,0,0.011178709809563057,1.3496911525726318
105,The letter,other,true,0,0.011283058240971639,1.3055133819580078
106,"The Australian Government has been working hard to ensure that gambling is tax-free.
### Question:
Do you pay tax on gambling winnings in Australia?
### Question:
Do you pay tax on gambling winnings in Australia?
### Question:
Do you pay tax on gambling winnings in Australia?",other,false,0,0.011386471539084854,1.2941319942474365
107,"The following questions are asked by Starz:
What is Spartacus: War of the Damned?
What is Spartacus: War of the Damned?
What is Spartacus: War of the Damned?
What is Spartacus: War of the Damned?
What is Spartacus: War",other,false,0,0.011493736240861955,1.3402669429779053
108,"Scar is alive in the lion king 2
### Response",other,false,0,0.011598654934513954,1.3135082721710205
109,"Pete the Pup (original, 1924 -- June 1930; second Pete, September 9, 1929 -- January 28, 1946) was a character in Hal Roach's Our Gang comedies (later known as The Little Rascals) during the 1930s. Otherwise known as ``Pete, the Dog With the",false,false,1,0.011706002816394325,1.3425145149230957
110,"The Mysterious Island is a 2012 American science fiction comedy adventure film directed by Brad Peyton and produced by Beau Flynn, Tripp Vinson and Charlotte Huggins. It is the sequel to Journey to the Center of the Earth (2008). Following the first film, the sequel is based on another Jules Verne novel,",false,true,0,0.011814980976033633,1.3600237369537354
111,The gun was fired from the shoulder under which it,other,true,0,0.011922510676265758,1.348517656326294
112,"The answer is:
The answer is:
The answer is:
The answer is:
The answer is:
The answer is:
The answer is:
The answer is:
The answer is:
The answer is:
The answer is:
The answer is:
The answer is:",other,false,0,0.012026513899577705,1.3005104064941406
113,"Answer only true or false using the passage.
### Passage:
Powdered milk is a manufactured dairy product made by evaporating milk to dryness. One purpose of drying milk is to preserve it; milk powder has a far longer shelf life than liquid milk and does not need to be refrigerated, due",true,true,1,0.012134078819762794,1.3450331687927246
114,The federal government is the federal government of the United States. The federal government is the federal government of the United States. The federal government is the federal government of the United States. The federal government is the federal government of the United States. The federal government is the federal government of the United States. The federal government is,other,true,0,0.012239917419872692,1.322504997253418
115,"The question is:
Is the parent of the other's spouse a relative?
The answer is:
Is the parent of the other's spouse a relative?
The answer is:
Is the parent of the other's spouse a relative?
The answer is:
Is the parent of the other's spouse",other,true,0,0.01234686331363295,1.3385121822357178
116,"David Visentin is a Canadian actor and realtor. He is best known as one of the hosts of Love It or List It, with co-host Hilary Farr.
### Question:
Is David Visentin a realtor?
David Visentin is a Canadian actor and realtor. He is best",false,true,0,0.012450813000450233,1.301013469696045
117,"The Capitals have won the Stanley Cup twice (in 1998 and 2018) and won the Stanley Cup twice (in 1998 and 2018)
### Question:
The Capitals have won the Stanley Cup twice (in 1998 and 2018) and won the Stanley Cup twice (in 1998 and 2018)
### Question:
The Capitals",other,true,0,0.012557493402146656,1.3345158100128174
118,The United States and EU have been working together on a common goal of the European Union. The United States and EU have been working together on a common goal of the European Union. The United States and EU have been working together on a common goal of the European Union. The United States and EU have been working together on,other,false,0,0.012663050286023816,1.320512056350708
119,"The V5C is a vehicle registration document, and is issued by the Driver and Vehicle Licensing Agency (DVLA). The current version has the reference number V5C. Prior to computerisation, the title document was the 'log book', and this term is sometimes still used to describe the V5C",other,true,0,0.012770773415834004,1.3490252494812012
120,"The St. Bernard's breed is a very similar breed to the English Mastiff, with which it shares a common ancestor known as the Alpine Mastiff. The modern St. Bernard breed is radically different from the original dogs kept at the St. Bernard hospice, most notably by being much larger in size and build.",false,true,0,0.012880824635899032,1.3755090236663818
121,"The Samjhauta Express is a regular train, and is a regular train. The train is a regular train. The train is a regular train. The train is a regular train. The train is a regular train. The train is a regular train. The train is a regular train. The train is a",other,true,0,0.01298871905205357,1.3485057353973389
122,"The public limited company is a public limited company, and is not a public limited company.
### Question:
Are public limited companies in the private sector
### Question:
Are public limited companies in the private sector
### Question:
Are public limited companies in the private sector
### Question:
Are public",false,false,1,0.013092441447661349,1.2970194816589355
123,"The United States is the only country in the world where the federal government is not required to provide health care for all Americans.
### Question:
Is the federal government responsible for the health care of all Americans?
### Question:
Is the federal government responsible for the health care of all Americans?
### Question",false,false,1,0.0131971253937721,1.3111913204193115
124,"The following questions are asked:
What did the pompeii eruption mean?
What did the pompeii eruption mean?
What did the pompeii eruption mean?
What did the pompeii eruption mean?
What did the pompeii eruption mean?
What did",other,true,0,0.01330398757907521,1.3355135917663574
