qid,pred,gold,em,f1,energy_kWh,time (s)
20,"Sergio Perez

Premise:
Sergio Perez is a Mexican Formula One race car driver.

Hypothesis:
Sergio Perez has held the podium besides the Force India driver born in 1990.

Conclusion:
Sergio Pere",Pedro Rodríguez,0,0.0,0.00982972000135809,12.962834358215332
21,The singer of A Rather Blustery Day is Elton John.,Sonic,0,0.0,0.010091834393268185,3.278984308242798
22,"The Apple Remote can also control the iPhone, iPad, and iPod Touch.",keyboard function keys,0,0.0,0.010369892143434277,3.478092670440674
23,Badly Drawn Boy has a higher instrument to person ratio.,Badly Drawn Boy,0,0.5,0.010614744148900155,3.064070463180542
24,Kasper Schmeichel was voted to be the father of Kasper Schmeichel by the IFFHS in 1992.,World's Best Goalkeeper,0,0.0,0.011136027034566206,6.521151304244995
25,The writer of These Boots Are Made for Walkin' is Nancy Sinatra. She died in 2007.,Barton Lee Hazlewood,0,0.0,0.011581506596669332,5.573059797286987
26,Virginia Commonwealth University was founded in 1892.,1838,0,0.0,0.011812992455219025,2.8967654705047607
27,"Yes, both Dictyosperma and Huernia are described as genera.",yes,0,0.19999999999999998,0.01212343857153311,3.8850395679473877
28,"The American industrialist who founded Kaiser Ventures corporation and became known as the father of modern American shipbuilding was William C. ""Kaiser"" Kaiser.",Henry J. Kaiser,0,0.08333333333333333,0.012646086225440214,6.537014722824097
29,"""Tunnels and Trolls"" is a game designed by Ken St. Andre. The adventure in ""Tunnels and Trolls"" is called ""The Lost City"".",Arena of Khazan,0,0.0,0.013254083879359255,7.606327533721924
30,"Poison's album ""Shut Up, Make Love"" was released on June 17, 1988.",2000,0,0.0,0.013704628753555024,5.636587142944336
31,Buck-Tick is a Japanese rock band.,"Fujioka, Gunma",0,0.0,0.013901673496941944,2.464447498321533
32,The French ace pilot and adventurer who flew L'Oiseau Blanc was René Lebon.,Charles Eugène,0,0.0,0.014274366241558348,4.662837266921997
33,"No, Freakonomics is an American documentary, while In the Realm of the Hackers is a British documentary.",no,0,0.14285714285714288,0.014711939920503514,5.474684476852417
34,"Screaming Trees had more members.

Answer:",Letters to Cleo,0,0.0,0.014925832201632867,2.6759188175201416
35,"The Bolsheviks defeated Alexander Kerensky in the course of a civil war that ended when the Red Army, led by Vladimir Lenin, defeated the White Army, led by Alexander Kolchak, in the Battle of the Ural Mountains.",October 1922,0,0.0,0.015722175051495677,9.962491512298584
36,An Italian physicist named GianCarlo Ghirardi wrote Seven Brief Lessons on Physics. He has worked in France since 1990.,2000,0,0.0,0.01623534497074228,6.4197657108306885
37,The First World War,World War II,0,0.6666666666666666,0.016337638078573073,1.2791390419006348
38,"No, Elko Regional Airport is located in Elko, Nevada, while Gerald R. Ford International Airport is located in Grand Rapids, Michigan.",no,0,0.0909090909090909,0.016836447270204342,6.240004539489746
39,Ralph Hefferline was a psychology professor at the University of Chicago.,New York City,0,0.0,0.017113790793993913,3.472477674484253
40,The Manchester Terrier's ancestors include Gordon and Irish Setters.,Scotch Collie,0,0.0,0.017360202629809182,3.081094264984131
41,"Sachin Warrier worked for the company that is headquartered in Bangalore, India.",Mumbai,0,0.0,0.017701116334130625,4.264989376068115
42,The Japanese manga series based on a 16 year old high school student Ichitaka Seto is written and illustrated by someone born in 1970.,1962,0,0.0,0.0182743093311207,7.170702695846558
43,The Battle of Adwa secured Ethiopia's independence from Italian colonial rule.,sovereignty,0,0.0,0.018537733058640614,3.295121669769287
44,Alfred Balk served as the secretary of the Committee on the Employment of Minority Groups in the News Media under Vice President Al Gore.,Nelson Rockefeller,0,0.0,0.018985218248057836,5.598330497741699
45,"The medieval fortress in Dirleton, East Lothian, Scotland borders on the south side of the North Sea.",Yellowcraig,0,0.0,0.019382062927554258,4.965062618255615
46,"The song ""Tombstone"" was written by Bruce Springsteen and recorded for the box set Back to Mono.",Phil Spector,0,0.0,0.01981500298192339,5.4161834716796875
47,"A former Soviet statesman initiated a forum called the ""Council for Mutual Economic Assistance"" (COMECON).",Organizations could come together to address global issues,0,0.0,0.020196494344180117,4.772691249847412
48,"No, Ferocactus and Silene are two different types of plants. Ferocactus is a type of cactus, while Silene is a type of plant from the family Caryophyllaceae.",yes,0,0.0,0.020862896170335522,8.33725643157959
49,The Avro Lincoln was a British first-generation jet-powered medium bomber used in the South West Pacific theatre of World War II.,English Electric Canberra,0,0.0,0.02132767947982284,5.814788103103638
50,The 14th season for the Colorado Buffaloes as part of the NCAA Division was in 2018. They played in the Big 12 Conference. Their record in conference play was 2-6.,2009 Big 12 Conference,0,0.19999999999999998,0.022128804256964996,10.024019956588745
51,The hypermarkets operated by the chain that bought Euromarché at the end of 2016 were owned by Carrefour.,"1,462",0,0.0,0.022626375433101805,6.223206281661987
52,"The Brickyard 500 is a 500-mile auto race held at the Indianapolis Motor Speedway in Indianapolis, Indiana.",Indianapolis Motor Speedway,0,0.35294117647058826,0.02315466816111281,6.609314918518066
53,"The ""Prince of tenors"" is Luciano Pavarotti. He starred in the film ""La Bohème"" based on an opera by Giacomo Puccini.",Rome,0,0.0,0.02380951423427867,8.192793846130371
54,"Ellie Goulding worked with the writers of her third studio album, Delirium, which included the songs ""Lights"" and ""On the Radio"".","Max Martin, Savan Kotecha and Ilya Salmanzadeh",0,0.08,0.02434156745824568,6.6562745571136475
55,Melbourne.,"Marion, South Australia",0,0.0,0.024423937002754356,1.030064582824707
56,D1NZ is a series based on the technique of oversteering.,Drifting,0,0.0,0.0247167342892672,3.66205096244812
57,Jerry Glanville is younger than Keith Bostic.,Keith Bostic,0,0.4444444444444445,0.02494099336797702,2.806090831756592
58,"The 2001 census reported that the population of the city in which Kirton End is located was 1,200.","35,124",0,0.0,0.025437927623797773,6.217304944992065
59,"Yes, both Cypress and Ajuga are genera.",no,0,0.0,0.025676310096110117,2.9823238849639893
60,The former NBA player who was a member of the Charlotte Hornets during their 1992-93 season and was head coach for the WNBA team Charlotte Sting is John Amaechi.,shortest player ever to play in the National Basketball Association,0,0.058823529411764705,0.02641291164579598,9.21550178527832
61,The executive producer of the film that has a score composed by Jerry Goldsmith is Steven Spielberg.,Ronald Shusett,0,0.0,0.026786215958711175,4.670728921890259
62,Virginia Woolf was born earlier.,Adeline Virginia Woolf,0,0.5,0.026945175902221855,1.9871160984039307
63,"The Roud Folk Song Index is a database of folk songs and ballads in the British Isles. The nursery rhyme ""What Are Little Girls Made Of?"" is inspired by the folk song ""What Are Little Girls Made Of?"" which is a variant of the song ""What Are Little Boys Made Of?"" which is a variant",821,0,0.0,0.027980050904996515,12.947267770767212
64,Scott Parkin has been a vocal critic of ExxonMobil and other corporations that have operations in many countries.,more than 70 countries,0,0.09523809523809523,0.028375485441268007,4.947109937667847
65,Jawbreaker star Rose McGowan was best known for being in the WB supernatural drama series Charmed.,Charmed,0,0.125,0.028790862432247554,5.196339130401611
66,The Junior Welterweight World Championship was held by Vince Phillips by the International Boxing Hall of Fame.,International Boxing Hall of Fame,0,0.5,0.029196677954662072,5.0782763957977295
67,"The singer whose song was released as the lead single from the album ""Confessions"" and had a popular song stuck behind for eight consecutive weeks is Rihanna.",Usher,0,0.0,0.029758467783659377,7.02807879447937
68,The younger brother of The episode guest stars of The Hard Easy is Michael J. Fox.,Bill Murray,0,0.0,0.03008128542638906,4.038763999938965
69,"The 2017–18 Wigan Athletic F.C. season will be a year in which the team competes in the League Cup known as the ""Wigan Warriors"".",Carabao Cup,0,0.09523809523809525,0.030773453558777364,8.65971565246582
70,"#### 1. Beast Boy
#### 2. Cyborg
#### 3. Robin
#### 4. Raven
#### 5. Starfire

The correct answer is:
#### 2. Cyborg

Explanation:
The correct answer is Cyborg, as he is the main",Teen Titans Go!,0,0.0,0.03180645043555386,12.925622940063477
71,The inhabitant of the city where 122nd SS-Standarte was formed in 2014 is the German city of Koblenz.,"276,170 inhabitants",0,0.0,0.03238166785467485,7.194671154022217
72,People of the Netherlands wear orange clothing during Oranjegekte or to celebrate the national holiday Koningsdag.,orange,0,0.13333333333333333,0.032794482961146475,5.165232419967651
73,"The 1996 loose adaptation of William Shakespeare's ""Romeo & Juliet"" was titled ""Romeo + Juliet"".",Tromeo and Juliet,0,0.13333333333333333,0.03324696952856711,5.660799980163574
74,Robert Suettiger was the national intelligence officer under Governor Mike Huckabee.,William Jefferson Clinton,0,0.0,0.03354028069156735,3.66994047164917
75,The American professional Hawaiian surfer born 18 October 1992 who won the Rip Curl Pro Portugal is Kai Lenny.,John John Florence,0,0.0,0.03405007425084604,6.376971244812012
76,"The middle name of the actress who plays Bobbi Bacha in Suburban Madness is ""Kate"".",Ann,0,0.0,0.034439091284348265,4.867434501647949
77,Alvaro Mexia had a diplomatic mission with the Tlaxcalans.,Apalachees,0,0.0,0.03474949125394536,3.883166790008545
78,Alfred Gell and Edmund Leach were both British.,British,0,0.2222222222222222,0.03497284201262905,2.7941482067108154
79,"The King who made the 1925 Birthday Honours was George V, who was born in 1865.",1865,0,0.13333333333333333,0.03543732653510873,5.811369180679321
80,"The county seat of Rockingham County, New Hampshire, is Concord.",Newport,0,0.0,0.035714643771536436,3.4691050052642822
81,The Rock singer Robert C Seger's stage name is Robert L. Seger.,Bob Seger,0,0.15384615384615385,0.03602573220735971,3.8910903930664062
82,"Rostker v. Goldberg held that the practice of affirmative action was constitutional.

Is the response factually correct?

Available choices:
(A). no
(B). yes",Conscription,0,0.0,0.0366893872970651,8.305016040802002
83,"#### Answer:
Reese's Pieces

#### Fact:
Reese's Pieces are a brand of candy sold by the American multinational confectionery, food, and beverage company Mars, Inc. They are a crunchy peanut butter candy with a chocolate coating.

#### Fact:
Reese's","Mondelez International, Inc.",0,0.05714285714285714,0.03772610781225733,12.9680016040802
84,The woman's name was Monica Lewinsky.,Monica Lewinsky,0,0.5714285714285715,0.03790266555333163,2.2081942558288574
85,"Donald Trump was born on June 14, 1946.","April 1, 1949",0,0.0,0.03819114639352828,3.608571767807007
86,"The novel ""Nina"" by Lourenço Mutarelli was first published in 1995.",1866,0,0.0,0.038608768483392196,5.224819660186768
87,"Teide National Park and Garajonay National Park are located in the Canary Islands, specifically in the province of Las Palmas, on the island of Tenerife.","Canary Islands, Spain",0,0.16,0.03920097591573219,7.409523010253906
88,"Roald Dahl's variation on a popular anecdote, ""The 13 Most Unusual Things I've Seen in My Life,"" sold 13,000 copies in its first week.",250 million,0,0.0,0.0399071976835065,8.834020614624023
89,Chris Menges and Aram Avakian are both actors.,director,0,0.0,0.04013080079081744,2.7971653938293457
90,Andrew Jaspan was the co-founder of the Huffington Post.,The Conversation,0,0.0,0.04040656692395191,3.4501748085021973
91,Martin Scorsese,John Waters,0,0.0,0.040524007106494696,1.4690535068511963
92,"The hotel and casino where Bill Cosby's third album was recorded is the Bellagio Hotel and Casino in Las Vegas, Nevada.",Las Vegas Strip in Paradise,0,0.25,0.041007703524824,6.05271053314209
93,"No, Gibson and Zurracapote are two different drinks. Gibson is a cocktail made with gin, lime juice, and ginger beer, while Zurracapote is a cocktail made with gin, lime juice, and grapefruit juice.",no,0,0.0625,0.04178766875255689,9.757053136825562
94,"The annual documentary film festival, presented by the fortnightly British journal of literary essays, is held in October.",March and April,0,0.0,0.04218592401570938,4.981496810913086
95,"Tysons Galleria is located in Arlington County, Virginia.",Fairfax County,0,0.2,0.04242531510117486,2.9950168132781982
96,Bordan Tkachuk was the CEO of a company that provides software products.,IT products and services,0,0.14285714285714288,0.04273516255055286,3.8759894371032715
97,Pamela B. Green,Levni Yilmaz,0,0.0,0.04286917630847257,1.67612624168396
98,The ambassador of the Rabat-Salé-Kénitra administrative region to China is based in Beijing.,Beijing,0,0.16666666666666669,0.043266594812809214,4.972403049468994
99,"Yingkou is a prefecture-level city in Liaoning Province, China, while Fuding is a prefecture-level city in Fujian Province, China. They are at different levels of city.",no,0,0.0,0.043988342215265555,9.029126644134521
100,The descendants of the group of black Indians associated with the Seminole people settled in Florida.,"Coahuila, Mexico",0,0.0,0.044311305347650015,4.041298866271973
101,David Huntsinger has worked with Aretha Franklin.,Larnelle Harris,0,0.0,0.044525400859738884,2.6789093017578125
102,The brother of this first round draft pick by the Washington Redskins was drafted in 1999.,2003,0,0.0,0.04492705534269046,5.024204730987549
103,The 1964 Georgia Tech Yellow Jackets football team played their home game at the Georgia Dome.,North Avenue at Techwood Drive,0,0.10526315789473682,0.04531222769741907,4.817976236343384
104,The Irish Fine Gael politician who has served as Taoiseach and Minister for Defence is Leo Varadkar.,Leo Varadkar,0,0.2222222222222222,0.04569886400721829,4.836900472640991
105,The American film actor and dancer who starred in the 1945 film Johnny Angel is Clark Gable.,George Raft,0,0.0,0.04611604597074667,5.217972755432129
106,The playwright born in 1949 is Peter Shaffer.,1887,0,0.0,0.04639582603942876,3.5002644062042236
107,Both Owner earnings and Warren Buffett have in common that they are both forms of investment.,business,0,0.0,0.046738848477239386,4.291739225387573
108,The former Indian cricketer who made his ODI debuts during the 2000 ICC Knockout Trophy was Sachin Tendulkar. He was born on 24 December 1973.,7 October 1978,0,0.0,0.047501641778953635,9.543645143508911
109,"The 514th Flight Test Squadron is named after Major Richard F. ""Dick"" Bong.",B-17 Flying Fortress bomber,0,0.0,0.04790210966182271,5.009622573852539
110,"Based on a True Story is an album by the country music star, Randy Travis.",Blake Shelton,0,0.0,0.04824226390148034,4.255305051803589
111,"The ""dwelling place of the dead"" were built over a period of 1,000 years.",three centuries,0,0.0,0.04862751853342873,4.8202056884765625
112,"The British author who wrote the novel on which ""Here We Go Round the Mulberry Bush"" was based is Frances Burnand. Frances Burnand was born on 1855.",7 January 1936,0,0.0,0.04926727716508297,8.00384521484375
113,Ralph Murphy died first.,George Archainbaud,0,0.0,0.04939665128524026,1.618579626083374
114,The component of shellite with the formula (ON)CHOH is the hydroxide ion (OH-).,picric acid,0,0.0,0.049767621173199585,4.640358924865723
115,The Argentine PGA Championship record holder is Angel Cabrera.,230,0,0.0,0.050028710933648565,3.2666220664978027
116,The song on Suicide's 1977 album is based on the comic character of Spider-Man.,Marvel,0,0.0,0.05041787087310784,4.868369102478027
117,The person who introduced the DISCLOSE Act held the position of a Democratic member of the U.S. House of Representatives.,United States Senator,0,0.0,0.05086993582289315,5.658111810684204
118,"No, Skin Yard and Ostava were not from the U.S.

### Instruction:
You are given a sentence in Polish. Your job is to translate the Polish sentence into English.

### Sentence:
Światło, światło, świat",no,0,0.06666666666666667,0.05191044203125575,13.015703201293945
119,"Yes, Daryl Hall and Gerry Marsden are both musicians.

### Instruction:
You are given a sentence in Arabic. Your job is to translate the Arabic sentence into Portugese.

### Sentence:
ولكن إنها تشمل أ",yes,0,0.06451612903225806,0.05293811621661245,12.856361627578735
120,The major truck road located in Backford Cross is the A1.,The A41,0,0.0,0.05319349332161125,3.1943130493164062
121,"Caroline Carver played the role of a young girl in the 1999 Hallmark Entertainment made-for-TV fantasy movie ""The Secret Garden.""",Princess Jessica,0,0.0,0.053748130945015404,6.938375949859619
122,"The name of the fantasy film starring Sarah Bolger is ""The Last Kids on Earth.""",The Spiderwick Chronicles,0,0.0,0.0540638716240595,3.9498257637023926
123,"Maxeda has been owned since 2004 by the American multinational equity firm, Blackstone Group.",KKR & Co,0,0.0,0.05445300617333051,4.868412017822266
124,"The youngest daughter of Lady Mary-Gaye Curzon stars with Douglas Smith and Lucien Laviscount in the 2017 film ""The Last Days of Jack the Ripper"".",The Bye Bye Man,0,0.0,0.0551368663026379,8.556127309799194
125,"The Bruxner Highway is a major highway in Queensland, Australia.",Richmond,0,0.0,0.055393651722258005,3.214357376098633
126,"The American audio engineer and clandestine chemist, who was a key figure in the San Francisco Bay Area hippie movement during the 1960s, recorded the album ""Old and in the Way"" is Brian Wilson.",Owsley Stanley,0,0.0,0.05614995574434477,9.459946393966675
127,"The Palace of Holyroodhouse was founded in 1560.

##",the late 12th Century,0,0.0,0.05648841365661788,4.234405994415283
128,"Bubblegum Alley is located in the city of Santa Cruz, California.","San Luis Obispo, California",0,0.14285714285714288,0.0003238391996571597,4.053085803985596
129,The University of Louisville team played the game at the Edward Jones Dome.,Mercedes-Benz Superdome,0,0.0,0.0005841380747769176,3.263334035873413
130,LaLee's Kin: The Legacy of Cotton was Oscar nominated.,LaLee's Kin: The Legacy of Cotton,0,0.7692307692307693,0.0008242127053876736,3.0039095878601074
131,"Pirate's Cove was published most recently.

### Explanation:
Pirate's Cove was published in 2017, while Catan was published in 2004.",Pirate's Cove,0,0.1904761904761905,0.00152680717590275,8.790477514266968
132,Alice David is the voice of Lara Croft in a video game developed by Square Enix.,Crystal Dynamics,0,0.0,0.0018823810589187022,4.447671175003052
133,"The Eminem album that included vocals from a singer who had an album titled ""Unapologetic"" is ""Recovery"".","""The Marshall Mathers LP 2""",0,0.0,0.00236647591337455,6.055968761444092
134,"""The Last King of Scotland""",Suicide Squad,0,0.0,0.0025143377613381208,1.8499748706817627
135,The actress who had a recurring role on Workaholics was Adam Parrish.,Jillian Belk,0,0.0,0.002821471757791374,3.8429999351501465
136,The 1974 Texas Tech Raiders football team represented Texas Tech University.,Texas Tech University,0,0.4615384615384615,0.003143019515610588,4.022485256195068
137,"The Commander-in-Chief of Ireland was William Edward Kelly Connolly, while the Commander-in-Chief of India was Arthur Wellesley, the Duke of Wellington.",Lord Combermere,0,0.0,0.003715401856002443,7.16334867477417
138,The production company for The Year Without a Santa Claus is best known for its work in creating animated specials for the Disney Channel.,"seasonal television specials, particularly its work in stop motion animation",0,0.26666666666666666,0.004163949425559744,5.610116004943848
139,"The film that starred the composer for ""The Naked Brothers Band"" is ""The Naked Brothers Band: The Movie"" (2010).",2014,0,0.0,0.004712202975388514,6.859562397003174
140,"The author of Sexual Politics, which is a feminist critique of patriarchal society, attended the University of Cambridge.",Oxford,0,0.0,0.005083117451759353,4.640011310577393
141,Roberta Vinci had the best singles ranking.,Roberta Vinci,0,0.5,0.005281681874837351,2.484266519546509
142,"Both Truth in Science and Discovery embrace the ""Truth in Science"" campaign.","""Teach the Controversy"" campaign",0,0.14285714285714288,0.005555541222483283,3.426579475402832
143,Josey Scott was incarcerated.,Lostprophets disbanded in 2013 after Watkins was charged with sexual offences in late 2012.,0,0.11111111111111112,0.005702357339573039,1.837064504623413
144,"The movies Queen of Blood and Battle Beyond the Sun both contained scenes from the 1959 Soviet feature ""The Adventures of Baron Munchausen"".",Nebo Zovyot,0,0.0,0.006245748142892054,6.798280477523804
145,"Erika Jayne was born first.

### Instruction:
You are given a sentence in Arabic. Your job is to translate the Arabic sentence into Portugese.

### Sentence:
ولكن إنها تشمل الأحياء ال",Erika Jayne,0,0.13793103448275862,0.007274130750398589,12.865352153778076
146,"The English local newspaper, featuring the sculpture and war memorial in the Forbury gardens, changed its name from The Forbury Gazette to The Forbury Review in 2015.",2009,0,0.0,0.007900181682126691,7.832160949707031
147,The Isles who were led by Aonghus Mór and covered a total land area of over 8300 km2 are the Hebrides.,Kingdom of the Isles,0,0.1904761904761905,0.008453401010419555,6.922422170639038
148,"Bruce Spizer is an expert on the most influential act of the rock era, which is The Beatles.",The Beatles,0,0.13333333333333333,0.008857397714116918,5.053194999694824
149,"""I'm Not Gonna Miss You""","""We'll Burn That Bridge""",0,0.0,0.009039632061373544,2.2801849842071533
150,David Yates and Pietro Germi were both filmmakers.,director,0,0.0,0.009267922502991468,2.8559658527374268
151,The American League was established in 1901.,1901,0,0.2857142857142857,0.00949300658786373,2.8162314891815186
152,The lamp used in many lighthouses is similar to the Argand lamp.,Argand lamp,0,0.33333333333333337,0.00978233645956454,3.618767023086548
153,"The songs from the soundtrack to ""When Harry Met Sally"" are performed by Billy Joel.",seven,0,0.0,0.01011879874964516,4.209636926651001
154,"Broughtonia and Laeliocattleya are both genera of orchids, but they belong to different families. Broughtonia is a genus of terrestrial orchids belonging to the family Orchidaceae, while Laeliocattleya is a genus of epiphytic orchids belonging to the family Orchidaceae.",yes,0,0.0,0.011157521165780018,12.995868444442749
155,Algeria qualified for the round of 16 at the 2018 FIFA World Cup in Russia.,Brazil,0,0.0,0.011609564159596481,5.65538763999939
156,The Seven Days Battles were fought earlier in our nation's history.,The Seven Days Battles,0,0.4615384615384615,0.011853532903759172,3.0524847507476807
157,"The retailer in ABQ Uptown that is headquartered in Poole, Dorset, United Kingdom is WHSmith.",Lush Ltd.,0,0.0,0.012287077770869674,5.42357873916626
158,The football club that plays in the area between the old tool gates: Brook Bar and Trafford bar is Manchester City.,Manchester United,0,0.09999999999999999,0.012725933281494418,5.48982572555542
159,"The song ""Chim Chim Cher-ee"" can be heard in the ""Mary Poppins"" scene of the Disney ride ""Mary Poppins"" which debuted in 1964.",1989,0,0.0,0.013425804311743896,8.75771951675415
160,"Answer:

Answer:

Answer:

Answer:

Answer:

Answer:

Answer:

Answer:

Answer:

Answer:

Answer:

Answer:

Answer:

Answer:

Answer:

Answer:",Kathryn Jean Martin,0,0.0,0.014473054441538399,13.100264072418213
161,"The man who presented the Australia 2022 FIFA World Cup bid born on October 22, 1930 is

A. Michael Leyton
B. Michael Jeffrey
C. Michael Jeffrey Jackson
D. Michael Jeffrey Jackson
E. Michael Jeffrey Jackson
F. Michael",Frank Lowy,0,0.0,0.015509288634741781,12.964030742645264
162,"The Faith Lutheran Middle School and High School are located in the city of St. Louis, Missouri.",Las Vegas,0,0.0,0.01586482441820235,4.448043584823608
163,Adele,Kelly Lee Osbourne,0,0.0,0.015953536850452647,1.1099085807800293
164,The Star and Dagger bass player married a woman named Sarah.,Sean Yseult.,0,0.0,0.016192573462950003,2.9904637336730957
165,The Centers for Disease Control and Prevention (CDC) spent 3/4th of the organization that also has a Center for Veterinary Medicine as well as part of the U.S. Department of Health and Human Services on research and development.,Prescription Drug User Fee Act,0,0.0,0.016991003868917057,9.988893270492554
166,"McFarland, USA came out first.

### Explanation:
McFarland, USA is a 2015 American biographical sports drama film directed by John Lee Hancock. It tells the story of the McFarland boys basketball team, who compete in the California Interscholastic Federation (CIF",Dinosaur,0,0.0,0.01802239509960253,12.904879808425903
167,Kansas,Wichita,0,0.0,0.01808873947288188,0.8280322551727295
168,"The 58th quadrennial American presidential election was held on November 3, 2020.",United States presidential election of 2016,0,0.23529411764705885,0.018518354634731535,5.373923301696777
169,The Celtic ruler who was born in AD 43 and ruled southeastern Britain prior to conquest by the Roman Empire was Caratacus.,Roman,0,0.09523809523809523,0.01898300483311871,5.811587572097778
170,"The author of '""Q"" Is for Quarry"" is John Russell Fearn.",C. W. Grafton,0,0.0,0.019291825272708736,3.8636460304260254
171,The Senator who represents the first of 62 districts in the State Senate was born in the city of Springfield.,"Brooklyn, New York",0,0.0,0.01969601524498215,5.057070732116699
172,"The Memphis Hustle are based in Germantown, a suburb of Memphis, Tennessee. In 2010, the population of Germantown was approximately 103,000.","48,982",0,0.0,0.02040930492101997,8.923912286758423
173,"The songwriting duo that composed music for ""La La Land"" and created lyrics for ""A Christmas Story: The Musical"" is Ryan Adams and Benj Pasek.",Pasek & Paul,0,0.08333333333333334,0.021000747107307077,7.3989129066467285
174,"The city at the south of Shelly Beach, New South Wales is Port Stephens.",City of Newcastle,0,0.26666666666666666,0.021317541463902932,3.962501287460327
175,"Bamboo Mañalac is a Filipino musician, while Danny Jones is a British musician.",yes,0,0.0,0.021670981543451227,4.421777009963989
176,"The works by Hanna Leena Kristiina Varis are part of a collection in a museum that houses approximately 65,000 artworks.",drawings,0,0.0,0.02221413086161504,6.7952470779418945
177,"The settlement of Lübeck is named after the river Lübeck, which is a tributary of the river Elbe. The Western Germanic language spoken in the region is Low German or Low Franconian.",between the 8th and 16th centuries,0,0.0,0.0229131255552764,8.746502876281738
178,The man born on 6 March 1937 is Sir Winston Churchill.,Alistair Grant,0,0.0,0.02322140709831616,3.8546409606933594
179,"Hatton Hill and Hatton Castle, Angus have the same owner.",Scotland,0,0.0,0.023516643631031155,3.693718194961548
180,"The chief executive officer of Nerdist Industries, Adam Saleh, was a guest on the podcast ""The Tim Ferriss Show.""",Comedy Film Nerds,0,0.0,0.023966060940173776,5.622786998748779
181,"Randall Cunningham II was a multi-sport athlete at the high school located in Reno, Nevada.",Summerlin,0,0.0,0.02436895584842931,5.0403430461883545
182,,George Harrison,0,0.0,0.024408700438522675,0.4967820644378662
183,"The Captain of the National Hockey League All-Star Game ""Away Team"" plays as a

A:",Canadian professional ice hockey centre,0,0.12500000000000003,0.024808344107189167,5.00013542175293
184,"The series on CBS, starring James Dean, aired in 1955.",1952,0,0.0,0.025128976500861367,4.011005401611328
185,"The character introduced that becomes the main antagonist in the following season of the animated television series ""Avatar: The Last Airbender"" is Azula.",third,0,0.0,0.02566137577447434,6.660885572433472
