qid,pred,gold,em,f1,energy_kWh,emissions (kg),time (s)
27,"Yes, I am.
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###",yes,0,0.5,0.0003627935027839,8.624394788126211e-07,1.332812800013926
28,"Kaiser Ventures is a private equity firm that has been involved in the development of the American shipbuilding industry since the early 1970s.
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###",Henry J. Kaiser,0,0.09090909090909091,0.0003627935027839,8.624394788126211e-07,1.332812800013926
29,I am a fan of the game and I am a fan of the game. I am a fan of the game and I am a fan of the game. I am a fan of the game and I am a fan of the game. I am a fan of the game and I am a fan of the game.,Arena of Khazan,0,0.04255319148936171,0.0003627935027839,8.624394788126211e-07,1.332812800013926
30,I was a little surprised to hear that the album was released in the United States. I was surprised to hear that the album was released in the United States. I was surprised to hear that the album was released in the United States. I was surprised to hear that the album was released in the United States. I was,2000,0,0.0,0.0003627935027839,8.624394788126211e-07,1.332812800013926
31,"Hayden is a musician from Canada, but where does Buck-Tick hail from?
### Answer:
Hayden is a musician from Canada, but where does Buck-Tick hail from?
### Answer:
Hayden is a musician from Canada, but where does Buck-Tick hail from?","Fujioka, Gunma",0,0.0,0.0003627935027839,8.624394788126211e-07,1.332812800013926
32,"Answer briefly and factually.
### Question:
Answer briefly and factually.
### Question:
Answer briefly and factually.
### Question:
Answer briefly and factually.
### Question:
Answer briefly and factually.
### Question:
Answer briefly and factually.
### Question",Charles Eugène,0,0.0,0.0003627935027839,8.624394788126211e-07,1.332812800013926
33,"Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer",no,0,0.0,0.0003627935027839,8.624394788126211e-07,1.332812800013926
34,"The band has been very active in the music industry since the beginning of the 1980s.
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###",Letters to Cleo,0,0.0,0.0003627935027839,8.624394788126211e-07,1.332812800013926
35,Alexander Kerensky was,October 1922,0,0.0,0.0003627935027839,8.624394788126211e-07,1.332812800013926
36,"The answer is yes.
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###",2000,0,0.0,0.0003627935027839,8.624394788126211e-07,1.332812800013926
37,The Memorial is a memorial to the fallen of the fallen of the fallen of the fallen of the fallen of the fallen of the fallen of the fallen of the fallen of the fallen of the fallen of the fallen of the fallen of the fallen of the fallen of the fallen of the fallen of the fallen of the fallen of the,World War II,0,0.0,0.0003627935027839,8.624394788126211e-07,1.332812800013926
38,"Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer",no,0,0.0,0.0003627935027839,8.624394788126211e-07,1.332812800013926
39,I am not sure if I am a psychologist. I am not a psychologist. I am not a psychologist. I am not a psychologist. I am not a psychologist. I am not a psychologist. I am not a psychologist. I am not a psychologist. I am not a psychologist. I am not a psychologist.,New York City,0,0.0,0.0003627935027839,8.624394788126211e-07,1.332812800013926
40,"Answer briefly and factually.
### Question:
Answer briefly and factually.
### Question:
Answer briefly and factually.
### Question:
Answer briefly and factually.
### Question:
Answer briefly and factually.
### Question:
Answer briefly and factually.
### Question",Scotch Collie,0,0.0,0.0003627935027839,8.624394788126211e-07,1.332812800013926
41,"The company is a software engineer based in San Francisco, California. Sachin is a software engineer based in San Francisco, California. Sachin is a software engineer based in San Francisco, California. Sachin is a software engineer based in San Francisco, California. Sachin is a software engineer based in San Francisco, California",Mumbai,0,0.0,0.0003627935027839,8.624394788126211e-07,1.332812800013926
42,I am a Japanese manga fan. I am a fan of the manga and I am a fan of the manga and I am a fan of the manga and I am a fan of the manga and I am a fan of the manga and I am a fan of the manga and I am a fan of the manga and I,1962,0,0.0,0.0003627935027839,8.624394788126211e-07,1.332812800013926
43,The battle in which Giuseppe Arimondi lost his life secured what,sovereignty,0,0.0,0.0003627935027839,8.624394788126211e-07,1.332812800013926
44,The Committee on the Employment of Minority Groups in the News Media was formed in the late 1970s by the American Civil Liberties Union of the United States. The Committee on the Employment of Minority Groups in the News Media was formed in the late 1970s by the American Civil Liberties Union of the United States. The Committee on the,Nelson Rockefeller,0,0.0,0.0003627935027839,8.624394788126211e-07,1.332812800013926
45,The castle is located in the north of the town,Yellowcraig,0,0.0,0.0003627935027839,8.624394788126211e-07,1.332812800013926
46,I am a writer of the song. I am a writer of the song. I am a writer of the song. I am a writer of the song. I am a writer of the song. I am a writer of the song. I am a writer of the song. I am a writer of the song.,Phil Spector,0,0.0,0.0003627935027839,8.624394788126211e-07,1.332812800013926
47,"Answer briefly and factually.
### Question:
Answer briefly and factually.
### Question:
Answer briefly and factually.
### Question:
Answer briefly and factually.
### Question:
Answer briefly and factually.
### Question:
Answer briefly and factually.
### Question",Organizations could come together to address global issues,0,0.0,0.0003627935027839,8.624394788126211e-07,1.332812800013926
48,"Yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes,",yes,0,0.06060606060606061,0.0003627935027839,8.624394788126211e-07,1.332812800013926
49,"The British Air Force has been working with the British Air Force to develop a new medium-to-air fighter jet. The aircraft is designed to be a medium-to-air fighter with a range of over 1,000 km. The aircraft is designed to be a medium-to-air fighter with a range of",English Electric Canberra,0,0.0,0.0003627935027839,8.624394788126211e-07,1.332812800013926
50,The conference was the first conference to play in the,2009 Big 12 Conference,0,0.18181818181818182,0.0003627935027839,8.624394788126211e-07,1.332812800013926
51,"The chain was founded in the late 1990s by a group of people who had been working for the company for over a decade.
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###","1,462",0,0.0,0.0003627935027839,8.624394788126211e-07,1.332812800013926
52,"The race track is located in the middle of the Mississippi River.
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###",Indianapolis Motor Speedway,0,0.0,0.0003627935027839,8.624394788126211e-07,1.332812800013926
53,The Prince of tenors was a very popular opera in Italy. It was a very popular opera in Italy. It was a very popular opera in Italy. It was a very popular opera in Italy. It was a very popular opera in Italy. It was a very popular opera in Italy. It was a very popular opera,Rome,0,0.0,0.0003627935027839,8.624394788126211e-07,1.332812800013926
54,Ellie Goulding is a writer and musician. She is a writer and musician. She is a writer and musician. She is a writer and musician. She is a writer and musician. She is a writer and musician. She is a writer and musician. She is a writer and musician. She is a writer and,"Max Martin, Savan Kotecha and Ilya Salmanzadeh",0,0.038461538461538464,0.0003627935027839,8.624394788126211e-07,1.332812800013926
55,"The Australian Government has been very supportive of the creation of a boarding school in the city of Melbourne.
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###","Marion, South Australia",0,0.0,0.0003627935027839,8.624394788126211e-07,1.332812800013926
56,"Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer",Drifting,0,0.0,0.0003627935027839,8.624394788126211e-07,1.332812800013926
57,"Keith Bostic is a former member of the Board of Directors of the University of California, Berkeley. He is a member of the Board of Directors of the University of California, Berkeley. He is a member of the Board of Directors of the University of California, Berkeley. He is a member of the Board of Directors of",Keith Bostic,0,0.08333333333333333,0.0003627935027839,8.624394788126211e-07,1.332812800013926
58,"The population of Kirton End is approximately 1,000.
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###","35,124",0,0.0,0.0003627935027839,8.624394788126211e-07,1.332812800013926
59,"Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer",no,0,0.0,0.0003627935027839,8.624394788126211e-07,1.332812800013926
60,"The former NBA player was a member of the Charlotte Sting team during their 1992-93 season and was head coach for the WNBA team Charlotte Sting.
### Question:
What distinction is held by the former NBA player who was a member of the Charlotte Sting team during their 1992-93 season and was head coach for",shortest player ever to play in the National Basketball Association,0,0.03571428571428571,0.0003627935027839,8.624394788126211e-07,1.332812800013926
61,The film is a film about a man who is a man who is a man who is a man who is a man who is a man who is a man who is a man who is a man who is a man who is a man who is a man who is a man who is a man who is a man,Ronald Shusett,0,0.0,0.0003627935027839,8.624394788126211e-07,1.332812800013926
62,"The first question was asked by the author, who was born in the United States.
### Answer:
The first question was asked by the author, who was born in the United States.
### Answer:
The second question was asked by the author, who was born in the United States.
### Answer",Adeline Virginia Woolf,0,0.0,0.0003627935027839,8.624394788126211e-07,1.332812800013926
63,I was a little bit surprised to learn that the Roud Folk Song Index was not the first time I had heard the Roud Folk Song Index. I was surprised to learn that the Roud Folk Song Index was not the first time I had heard the Roud Folk Song Index. I was surprised to learn that the,821,0,0.0,0.0003627935027839,8.624394788126211e-07,1.332812800013926
64,Scott Parkin is a vocal critic of Exxonm,more than 70 countries,0,0.0,0.0003627935027839,8.624394788126211e-07,1.332812800013926
65,I am a fan of the series and I am very proud of it. I am a fan of the series and I am very proud of it. I am a fan of the series and I am very proud of it. I am a fan of the series and I am very proud of it. I am a fan,Charmed,0,0.0,0.0003627935027839,8.624394788126211e-07,1.332812800013926
66,Vince Phillips is a former welterweight champion and a former welterweight champion. He is a former welterweight champion and a former welterweight champion. He is a former welterweight champion and a former welterweight champion. He is a former welterweight champion and a former welterweight,International Boxing Hall of Fame,0,0.0,0.0003627935027839,8.624394788126211e-07,1.332812800013926
67,"I'm not sure if the song was released as a single, but I think it was a song that was released in the first place.
###
Question:
What was the song that was released as the lead single from the album ""Confessions"", and that had popular song stuck behind for eight consecutive weeks?",Usher,0,0.0,0.0003627935027839,8.624394788126211e-07,1.332812800013926
68,The Hard Hard Hard Hard Hard Hard Hard Hard Hard Hard Hard Hard Hard Hard Hard Hard Hard Hard Hard Hard Hard Hard Hard Hard Hard Hard Hard Hard Hard Hard Hard Hard Hard Hard Hard Hard Hard Hard Hard Hard Hard Hard Hard Hard Hard Hard Hard Hard Hard Hard Hard Hard Hard Hard Hard Hard Hard Hard Hard Hard Hard Hard Hard,Bill Murray,0,0.0,0.0003627935027839,8.624394788126211e-07,1.332812800013926
69,The 2017–18 Wigan Athletic F.C. season will be a year in which the team competes in the league cup,Carabao Cup,0,0.11764705882352941,0.0003627935027839,8.624394788126211e-07,1.332812800013926
70,"Answer briefly and factually.
### Question:
Answer briefly and factually.
### Question:
Answer briefly and factually.
### Question:
Answer briefly and factually.
### Question:
Answer briefly and factually.
### Question:
Answer briefly and factually.
### Question",Teen Titans Go!,0,0.0,0.0003627935027839,8.624394788126211e-07,1.332812800013926
71,The city of  122nd SS,"276,170 inhabitants",0,0.0,0.0003627935027839,8.624394788126211e-07,1.332812800013926
72,I am a Dutch citizen and I am a Dutch citizen. I am a Dutch citizen. I am a Dutch citizen. I am a Dutch citizen. I am a Dutch citizen. I am a Dutch citizen. I am a Dutch citizen. I am a Dutch citizen. I am a Dutch citizen. I am a Dutch,orange,0,0.0,0.0003627935027839,8.624394788126211e-07,1.332812800013926
73,"The original script was written by James Gunn, who was",Tromeo and Juliet,0,0.0,0.0003627935027839,8.624394788126211e-07,1.332812800013926
74,Robert,William Jefferson Clinton,0,0.0,0.0003627935027839,8.624394788126211e-07,1.332812800013926
75,"Answer briefly and factually.
### Question:
Answer briefly and factually.
### Question:
Answer briefly and factually.
### Question:
Answer briefly and factually.
### Question:
Answer briefly and factually.
### Question:
Answer briefly and factually.
### Question",John John Florence,0,0.0,0.0003627935027839,8.624394788126211e-07,1.332812800013926
76,"The actress is a member of the cast of Suburban Madness.
### Question:
What is the name of",Ann,0,0.0,0.0003627935027839,8.624394788126211e-07,1.332812800013926
77,"Alvaro Mexia was a member of the Mexican National Congress of the United States.
### Question:
Alvaro Mexia was a member of the Mexican National Congress of the United States.
### Question:
Alvaro Mexia was a member of the Mexican National Congress of the United States.",Apalachees,0,0.0,0.0003627935027839,8.624394788126211e-07,1.332812800013926
78,"The question is:
What nationality were social anthropologists Alfred Gell and Edmund",British,0,0.0,0.0003627935027839,8.624394788126211e-07,1.332812800013926
79,"The King was born in the year 1925, and the King was born in the year 1925, and the King was born in the year 1925, and the King was born in the year 1925, and the King was born in the year 1925, and the King was born in the year 1925, and the King was born",1865,0,0.0,0.0003627935027839,8.624394788126211e-07,1.332812800013926
80,"The county seat of the county is located in the county seat of the county.
### Question",Newport,0,0.0,0.0003627935027839,8.624394788126211e-07,1.332812800013926
81,"The album was the 11th album of a Rock singer Robert C Seger born may 6 1945. What was the Rock singers stage name ?
### Response",Bob Seger,0,0.08695652173913042,0.0003627935027839,8.624394788126211e-07,1.332812800013926
82,"Answer briefly and factually.
### Question:
Answer briefly and factually.
### Question:
Answer briefly and factually.
### Question:
Answer briefly and factually.
### Question:
Answer briefly and factually.
### Question:
Answer briefly and factually.
### Question",Conscription,0,0.0,0.0003627935027839,8.624394788126211e-07,1.332812800013926
83,"Answer briefly and factually.
### Question:
Answer briefly and factually.
### Question:
Answer briefly and factually.
### Question:
Answer briefly and factually.
### Question:
Answer briefly and factually.
### Question:
Answer briefly and factually.
### Question","Mondelez International, Inc.",0,0.0,0.0003627935027839,8.624394788126211e-07,1.332812800013926
84,I was a white house intern in the 1980s. I was a white house intern in the 1980s. I was a white house intern in the 1980s. I was a white house intern in the 1980s. I was a white house intern in the 1980s. I was a white house intern in the 1980,Monica Lewinsky,0,0.0,0.0003627935027839,8.624394788126211e-07,1.332812800013926
85,"I was a lobbyist for the American Legislative Exchange Council (ALEC) in Washington, D.C.
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###","April 1, 1949",0,0.0,0.0003627935027839,8.624394788126211e-07,1.332812800013926
86,The novel was published in the United States in the United Kingdom in the United Kingdom in the United States in the United Kingdom in the United Kingdom in the United Kingdom in the United Kingdom in the United Kingdom in the United Kingdom in the United Kingdom in the United Kingdom in the United Kingdom in the United Kingdom in the United Kingdom,1866,0,0.0,0.0003627935027839,8.624394788126211e-07,1.332812800013926
87,The Teide National Park is located in the western part of the United States. The park is located in the western part of the United States. The park is located in the western part of the United States. The park is located in the western part of the United States. The park is located in the western part of,"Canary Islands, Spain",0,0.0,0.0003627935027839,8.624394788126211e-07,1.332812800013926
88,"Yes, we have.
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###",250 million,0,0.0,0.0003627935027839,8.624394788126211e-07,1.332812800013926
89,"Chris Menges is a professor of English at the University of California, Berkeley. He is a professor of English at the University of California, Berkeley. He is a professor of English at the University of California, Berkeley. He is a professor of English at the University of California, Berkeley. He is a professor of English",director,0,0.0,0.0003627935027839,8.624394788126211e-07,1.332812800013926
90,"Andrew Jaspan is a former editor of the New York Times, and a former editor of the New York Times. He is a former editor of the New York Times. He is a former editor of the New York Times. He is a former editor of the New York Times. He is a former editor of the",The Conversation,0,0.0,0.0003627935027839,8.624394788126211e-07,1.332812800013926
91,"The film was nominated for the Best Picture in 2002, and was nominated for the Best Picture in 2002.
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###",John Waters,0,0.0,0.0003627935027839,8.624394788126211e-07,1.332812800013926
92,The hotel and casino located in the hotel and casino located in the hotel and casino located in the hotel and casino located in the hotel and casino located in the hotel and casino located in the hotel and casino located in the hotel and casino located in the hotel and casino located in the hotel and casino located in the hotel and casino,Las Vegas Strip in Paradise,0,0.034482758620689655,0.0003627935027839,8.624394788126211e-07,1.332812800013926
93,"Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer",no,0,0.0,0.0003627935027839,8.624394788126211e-07,1.332812800013926
94,"The festival is a celebration of the work of the British literary community, and the work of the British literary community.
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###",March and April,0,0.1111111111111111,0.0003627935027839,8.624394788126211e-07,1.332812800013926
95,"Tysons Galleria is located in the county of New York City.
###
Tysons Galleria is located in the county of New York City.
###
Tysons Galleria is located in the county of New York City.
###
Tysons Galleria is located in the county",Fairfax County,0,0.05263157894736842,0.0003627935027839,8.624394788126211e-07,1.332812800013926
96,Bordan Tkachuk is a former CEO,IT products and services,0,0.0,0.0003627935027839,8.624394788126211e-07,1.332812800013926
97,I am a filmmaker. I am a filmmaker. I am a filmmaker. I am a filmmaker. I am a filmmaker. I am a filmmaker. I am a filmmaker. I am a filmmaker. I am a filmmaker. I am a filmmaker. I am a filmmaker. I am a filmmaker. I am a filmmaker,Levni Yilmaz,0,0.0,0.0003627935027839,8.624394788126211e-07,1.332812800013926
98,"The Rabat-Salé-Kénitra administrative region is the ambassador of the Rabat-Salé-Kénitra administrative region.
### Question:
The Rabat-Salé-Kénitra administrative region is the ambassador of the Rabat-Salé-Kénitra",Beijing,0,0.0,0.0003627935027839,8.624394788126211e-07,1.332812800013926
99,"Yes, I am.
### Question:
What is the city of Yingkou?
### Answer:
Yes, I am.
### Question:
What is the city of Yingkou?
### Answer:
Yes, I am.
### Question:
What is the city of Ying",no,0,0.0,0.0003627935027839,8.624394788126211e-07,1.332812800013926
100,The Seminole people settled in the Seminole area of the Seminole area of the Seminole area of the Seminole area of the Seminole area of the Seminole area of the Seminole area of the Seminole area of the Seminole area of the Seminole area of the Seminole area of the Seminole,"Coahuila, Mexico",0,0.0,0.0003627935027839,8.624394788126211e-07,1.332812800013926
101,David Huntsinger is a member of the Church of Jesus Christ of Latter-day Saints. He is a member of the Church of Jesus Christ of Latter-day Saints. He is a member of the Church of Jesus Christ of Latter-day Saints. He is a member of the Church of Jesus Christ of Latter-day,Larnelle Harris,0,0.0,0.0003627935027839,8.624394788126211e-07,1.332812800013926
102,The fourth round draft pick was drafted by the Washington Redskins.,2003,0,0.0,0.0003627935027839,8.624394788126211e-07,1.332812800013926
103,"The stadium is located at the University of Georgia Tech Stadium, located at the University of Georgia Tech Stadium, located at the University of Georgia Tech Stadium, located at the University of Georgia Tech Stadium, located at the University of Georgia Tech Stadium, located at the University of Georgia Tech Stadium, located at the University of Georgia Tech",North Avenue at Techwood Drive,0,0.03636363636363636,0.0003627935027839,8.624394788126211e-07,1.332812800013926
104,"The Leader of Fine Gael has been held by which Irish Fine Gael politician who has served as Taoiseach and Minister for Defence?
### Question:
The Leader of Fine Gael has been held by which Irish Fine Gael politician who has served as Taoiseach and Minister for Defence?
### Question:
The Leader",Leo Varadkar,0,0.0,0.0003627935027839,8.624394788126211e-07,1.332812800013926
105,"Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer",George Raft,0,0.0,0.0003627935027839,8.624394788126211e-07,1.332812800013926
106,Hree Men on a Horse is a play by a playwright born in which year ?,1887,0,0.0,0.0003627935027839,8.624394788126211e-07,1.332812800013926
107,"Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer:
Answer",business,0,0.0,0.0003627935027839,8.624394788126211e-07,1.332812800013926
108,I was a cricketer for the first time in my career. I was a cricketer for the first time in my career. I was a cricketer for the first time in my career. I was a cricketer for the first time in my career. I was a cricketer for the,7 October 1978,0,0.0,0.0003627935027839,8.624394788126211e-07,1.332812800013926
109,"The aircraft was flown by the Major Test Squadron, which is the aircraft that was flown by the Major Test Squadron, which is the aircraft that was flown by the Major Test Squadron, which is the aircraft that was flown by the Major Test Squadron, which is the aircraft that was flown by the Major Test Squadron, which is",B-17 Flying Fortress bomber,0,0.0,0.0003627935027839,8.624394788126211e-07,1.332812800013926
110,"I am a fan of the album, and I am very happy to share it with you.
###
I am a fan of the album, and I am very happy to share it with you.
###
I am a fan of the album, and I am very happy to share it with you.",Blake Shelton,0,0.0,0.0003627935027839,8.624394788126211e-07,1.332812800013926
111,"The ""dwelling place of the dead"" was built in the early 19th century.",three centuries,0,0.0,0.0003627935027839,8.624394788126211e-07,1.332812800013926
112,I was born in the United States. I was born in the United States. I was born in the United States. I was born in the United States. I was born in the United States. I was born in the United States. I was born in the United States. I was born in the United States.,7 January 1936,0,0.0,0.0003627935027839,8.624394788126211e-07,1.332812800013926
113,"George Archainbaud or Ralph Murphy?
### Answer:
George Archainbaud or Ralph Murphy?
### Answer:
George Archainbaud or Ralph Murphy?
### Answer:
George Archainbaud or Ralph Murphy?
### Answer:
George Archainbaud or Ralph Murphy",George Archainbaud,0,0.12903225806451613,0.0003627935027839,8.624394788126211e-07,1.332812800013926
114,"Answer briefly and factually.
### Question:
Answer briefly and factually.
### Question:
Answer briefly and factually.
### Question:
Answer briefly and factually.
### Question:
Answer briefly and factually.
### Question:
Answer briefly and factually.
### Question",picric acid,0,0.0,0.0003627935027839,8.624394788126211e-07,1.332812800013926
115,The Argentine PGA Championship record holder,230,0,0.0,0.0003627935027839,8.624394788126211e-07,1.332812800013926
116,"Suicide's 1977 released album features a song based on what brand's comic character?
### Response",Marvel,0,0.0,0.0003627935027839,8.624394788126211e-07,1.332812800013926
